"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector","current_address_line_1","current_postcode"
"1709","Gilfresh Produce","2014-15","14,700","30,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing","56 Creenagh Road","BT61 8PZ"
"1710","JLM Composites Ltd","2014-15","1,700","3,400",0,"Northern Ireland","Mid Ulster",22220,"Manufacturing","47a Gortnagola Road","BT70 3BD"
"1711","Cloughbane Farm Foods","2014-15","8,820","18,000",0,"Northern Ireland","Mid Ulster",10130,"Manufacturing","160 Tanderagee Road","BT70 3HS"
"1712","Anaconda Equipment International Ltd","2014-15","48,803","180,750",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","Unit 11 Ardboe Business Park","BT71 5BJ"
"1713","E. Henry Engineering Services","2014-15","48,754","97,508",0,"Northern Ireland","Causeway Coast and Glens",28290,"Manufacturing","Unit 8 Ballybrakes Business Park","BT53 6LW"
"1714","Export Technologies Ltd","2014-15","161,969","404,923",0,"Northern Ireland","Belfast",62020,"Information & Communication","The Innovation Centre","BT3 9DT"
"1715","Morrow Foods","2014-15","11,700","72,600",1,"Northern Ireland","Mid Ulster",10850,"Manufacturing","Unit 1 Food Business Incubation Centre","BT80 8SG"
"1716","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities",NA,NA
"1717","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities",NA,NA
"1718","Hair Box Ltd","2014-15","7,000","32,000",1,"Northern Ireland","Ards and North Down",82990,"Admin & Support Service Activities","19b New Road","BT21 0DR"
"1719","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities",NA,NA
"1720","Totalis Solutions Limited","2014-15","24,000","63,475",0,"Northern Ireland","Belfast",43999,"Construction","Grove Street East","BT5 5GH"
"1721","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities",NA,NA
"1722","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1723","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities",NA,NA
"1724","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"1725","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities",NA,NA
"1726","Love Hockey Ireland","2014-15","4,000","77,288",2,"Northern Ireland","Armagh City, Banbridge and Craigavon",93199,"Arts, Entertainment & Recreation","1 Woodford Crescent","BT60 2EB"
"1727","Ecoerne Consulting","2014-15","4,825","9,650",0,"Northern Ireland","Fermanagh and Omagh",74909,"Professional, Scientific & Technical Activities","339 Derrygonnelly Road","BT93 6JE"
"1728","Electronic & Security Services Ltd","2014-15","1,100","2,200",0,"Northern Ireland","Belfast",80200,"Admin & Support Service Activities","50 Boucher Place","BT12 6HT"
"1729","O3 Group Ltd","2014-15","2,177","4,354",0,"Northern Ireland","Belfast",46690,"Wholesale & Retail Trade & Repair of Vehicles","Forsyth House","BT2 8LA"
"1730","Hercules Brewing & Co. Limited","2014-15","5,000","30,000",1,"Northern Ireland","Belfast",11050,"Manufacturing","5 Harbour Court","BT3 9HB"
"1731","Millar Engineering","2014-15","2,317","8,320",0,"Northern Ireland","Mid Ulster",42990,"Construction","233 Trewmount Road","BT71 7ED"
"1732","Benburb Bramleys Limited","2014-15","47,100","117,750",0,"Northern Ireland","Mid Ulster",10390,"Manufacturing","237 Derryfubble Road","BT71 7JX"
"1733","Patrick F Corr Limited","2014-15","2,537","10,208",0,"Northern Ireland","Causeway Coast and Glens",74902,"Professional, Scientific & Technical Activities","17  Catherine Street","BT49 9DA"
"1734","Whitehat Security","2014-15","400,000","4,155,976",80,"United States of America","Belfast",62090,"Information & Communication","32-38 Linenhall Street","BT2 8BG"
"1735","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities",NA,NA
"1736","Stonefit Ltd","2014-15","5,000","63,000",1,"Northern Ireland","Mid Ulster",43390,"Construction","16a Dunroe Road","BT77 0EB"
"1737","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities",NA,NA
"1738","Blu Marine Ltd","2014-15","20,000","100,000",1,"Northern Ireland","Belfast",30110,"Manufacturing","The Old Navy Base","BT3 9ED"
"1739","Stream Dynamics Limited","2014-15","29,400","352,000",5,"Northern Ireland","Antrim and Newtownabbey",80200,"Admin & Support Service Activities","Unit 2","BT36 6RW"
"1740","The Right Key (Lisburn) Community Interest Company","2014-15","5,800","77,000",2,"Northern Ireland","Armagh City, Banbridge and Craigavon",96040,"Other Service Activities","45 Princes Street","BT25 1AY"
"1741","Automated Intelligence Limited","2014-15","30,980","110,700",0,"Northern Ireland","Belfast",62010,"Information & Communication","Unit 4 Legacy Building","BT3 9DT"
"1742","Big Motive Ltd","2014-15","15,000","38,400",0,"Northern Ireland","Belfast",59110,"Information & Communication","Floor 2, The Flatiron","BT1 4QL"
"1743","Bairnsdale Developments Limited","2014-15","1,960","4,000",0,"Northern Ireland","Lisburn and Castlereagh",31090,"Manufacturing","Unit 4 Hull's Lane","BT28 2SR"
"1744","Moy Park Limited","2016-17","866,844","3,318,216",0,"Brazil","Armagh City, Banbridge and Craigavon",10120,"Manufacturing","39 Seagoe Industrial Estate","BT63 5QE"
"1745","Anaeko Limited","2014-15","1,838","3,750",0,"Northern Ireland","Belfast",62020,"Information & Communication","Weavers Court","BT12 5GH"
"1746","Maxwell Concrete","2014-15","2,125","4,250",0,"Northern Ireland","Derry City and Strabane",23610,"Manufacturing","22 Folliard Road","BT81 7JW"
"1747","MacSheds","2014-15","900","1,800",0,"Northern Ireland","Mid Ulster",25110,"Manufacturing","63 Drumkee Road","BT71 6JA"
