"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector","current_address_line_1","current_postcode"
"6085","Energystore Limited","2016-17","10,000","28,240",0,"Northern Ireland","Lisburn and Castlereagh",71121,"Professional, Scientific & Technical Activities","21-23 Shore Road","BT18 9HX"
"6086","Wavteq Limited","2016-17","19,800","174,500",3,"Hong Kong","Belfast",62020,"Information & Communication","Forsyth House","BT2 8LA"
"6087","Chique Sport Limited","2016-17","9,900","69,000",0,"Northern Ireland","Causeway Coast and Glens",46420,"Wholesale & Retail Trade & Repair of Vehicles","10 Castlewood Avenue","BT52 1JR"
"6088","McKeown Fine Foods Limited","2016-17","48,250","285,488",11,"Northern Ireland","Causeway Coast and Glens",10120,"Manufacturing","Dreen Farm","BT44 8RW"
"6089","Power Grid Civils Limited","2017-18","40,000","182,250",6,"Northern Ireland","Fermanagh and Omagh",42990,"Construction","Lancer Buildings","BT78 5EJ"
"6090","Seacoya Group Ltd","2016-17","48,000","160,000",0,"Northern Ireland","Causeway Coast and Glens",27900,"Manufacturing","16 Finvoy Road","BT53 7JE"
"6091","Greenacre Innovations Ltd","2016-17","3,300","6,600",0,"Northern Ireland","Ards and North Down",22290,"Manufacturing","52c Forest Hill","BT23 7FL"
"6092","Hawthorn Heights Ltd","2016-17","15,000","234,040",3,"Northern Ireland","Derry City and Strabane",43999,"Construction","75 Craigbrack Road","BT47 3BE"
"6093","Kilkeel Seafoods Ltd","2017-18","34,497","151,887",0,"Great Britain","Newry, Mourne and Down",10200,"Manufacturing","The Harbour","BT34 4AX"
"6094","Reduction Plastics Ltd","2016-17","4,625","9,250",0,"Irish Republic","Armagh City, Banbridge and Craigavon",22290,"Manufacturing","Unit 11/12 Silverwood Business Park","BT66 6LN"
"6095","Martin Contracting Services Ltd","2016-17","24,540","81,800",2,"Northern Ireland","Mid and East Antrim",71129,"Professional, Scientific & Technical Activities","101 Braepark Road","BT39 9SR"
"6096","Lumina","2016-17","8,550","153,000",1,"Northern Ireland","Mid Ulster",82990,"Admin & Support Service Activities","Unit 14","BT80 9HJ"
"6097","NIAVAC Ltd","2016-17","31,200","278,000",5,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities","5 Prince Regent Road","BT5 6DR"
"6098","Learning SPACE","2017-18","17,000","221,080",4,"Northern Ireland","Belfast",47650,"Wholesale & Retail Trade & Repair of Vehicles","11a Fountain Centre","BT1 6ET"
"6099","Eyekiller Ltd","2016-17","1,520","3,800",0,"Northern Ireland","Ards and North Down",63990,"Information & Communication","8 Dufferin Court","BT20 3BX"
"6100","Moment Health App","2016-17","3,450","6,900",0,"Northern Ireland","Belfast",62012,"Information & Communication","41 Malone Hill Park","BT9 6RE"
"6101","Acksen Ltd","2016-17","623","1,245",0,"Northern Ireland","Antrim and Newtownabbey",62010,"Information & Communication","28 Station Road","BT37 0AW"
"6102","Mash Direct Limited","2016-17","63,330","211,103",0,"Northern Ireland","Ards and North Down",10890,"Manufacturing","81 Ballyrainey Road","BT23 5JU"
"6103","The Skunk Works Surfboard Company","2016-17","21,943","55,441",0,"Northern Ireland","Causeway Coast and Glens",22290,"Manufacturing","Ceased Trading",NA
"6104","Greene Bagging Limited","2016-17","8,772","30,430",1,"Northern Ireland","Causeway Coast and Glens",52100,"Transportation & Storage","62 Dunboe Road","BT51 4JR"
"6105","Power Action Limited","2016-17","78,750","315,000",0,"Northern Ireland","Lisburn and Castlereagh",26110,"Manufacturing","Unit 205-209 Lisburn Enterprise Organisation","BT28 2BP"
"6106","Moment Health App","2017-18","11,736","32,265",0,"Northern Ireland","Belfast",62012,"Information & Communication","41 Malone Hill Park","BT9 6RE"
"6107","Finn Lough","2016-17","4,932","9,864",0,"Northern Ireland","Fermanagh and Omagh",55209,"Accommodation & Food Service Activities","33 Letter Road","BT93 2BB"
"6108","ACT","2016-17","4,392","11,851",0,"Northern Ireland","Newry, Mourne and Down",28990,"Manufacturing","16 Rathfriland Road","BT34 5UR"
"6109","McAllister Bros Limited","2016-17","48,186","185,480",2,"Northern Ireland","Newry, Mourne and Down",81229,"Admin & Support Service Activities","91 Drumalane Road","BT35 8QJ"
"6110","McQuaid Engineering Ltd","2016-17","2,900","5,800",0,"Northern Ireland","Mid Ulster",28220,"Manufacturing","84 Cookstown Road","BT71 4BS"
"6111","Corkscrew Technologies Ltd","2016-17","7,350","15,000",0,"Northern Ireland","Belfast",62090,"Information & Communication","Ceased Trading",NA
"6112","Sandvik Limited","2017-18","53,490","219,598",0,"Sweden","Mid Ulster",28923,"Manufacturing","Tullyvannon","BT70 2HW"
"6113","Seacoya Group Ltd","2016-17","5,738","11,475",0,"Northern Ireland","Causeway Coast and Glens",27900,"Manufacturing","16 Finvoy Road","BT53 7JE"
"6114","Oran Oak Engineering","2016-17","3,850","7,700",0,"Northern Ireland","Fermanagh and Omagh",28302,"Manufacturing","33 Dreenan Road","BT79 0SH"
"6115","Causeway Securities Limited","2016-17","15,000","148,000",3,"Great Britain","Belfast",64301,"Financial & Insurance Activities","Dax House","BT1 6PA"
"6116","Replify Ltd","2016-17","4,575","9,150",0,"Northern Ireland","Belfast",62020,"Information & Communication","Suite 510 Scottish Provident Building","BT1 6JH"
"6117","Bombardier Aerostructures and Engineering Services (Belfast)","2018-19","12,046,354","110,272,215",0,"Canada","Belfast",30300,"Manufacturing","Airport Road","BT3 9DZ"
"6118","BPC Ventilation Limited","2017-18","48,200","322,000",6,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities","8 Redlands Road","BT40 1AX"
"6119","Moment Health App","2016-17","4,803","16,010",0,"Northern Ireland","Belfast",62012,"Information & Communication","41 Malone Hill Park","BT9 6RE"
"6120","In Your Element Ltd","2017-18","42,306","71,160",0,"Northern Ireland","Derry City and Strabane",62020,"Information & Communication","25-31 The Diamond","BT48 6HP"
"6121","Continu Ltd","2016-17","2,275","4,550",0,"Northern Ireland","Belfast",43210,"Construction","9 Harbour Court","BT3 9HB"
"6122","Ortho Only","2016-17","2,630","5,260",0,"Northern Ireland","Causeway Coast and Glens",47749,"Wholesale & Retail Trade & Repair of Vehicles","27 Wheatfield Gardens","BT51 3RH"
"6123","Global Cooling Solutions Ltd","2017-18","35,000","380,000",7,"Northern Ireland","Belfast",43220,"Construction","19 Gilnahirk Crescent","BT5 7DU"
"6124","Electronic Centre","2016-17","10,592","28,399",0,"Northern Ireland","Belfast",47540,"Wholesale & Retail Trade & Repair of Vehicles","16 College Square East","BT1 6DE"
"6125","Chique Sport Limited","2016-17","798","1,595",0,"Northern Ireland","Causeway Coast and Glens",46420,"Wholesale & Retail Trade & Repair of Vehicles","10 Castlewood Avenue","BT52 1JR"
"6126","ROL Electrical Inspection & Testing","2017-18","48,000","412,000",8,"Northern Ireland","Mid Ulster",71200,"Professional, Scientific & Technical Activities","34 Tullyallen Road","BT70 3AF"
"6127","CDE Global Limited","2017-18","238,931","890,750",0,"Northern Ireland","Mid Ulster",28921,"Manufacturing","C D E Global Ltd","BT80 9HJ"
"6128","Technidrive","2016-17","12,900","43,000",1,"Northern Ireland","Armagh City, Banbridge and Craigavon",25990,"Manufacturing","21 Charlestown Drive","BT63 5GA"
"6129","R.A. Irwin & Company Limited","2016-17","23,800","23,800",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",13200,"Manufacturing","90 Milltown Road","BT66 7NF"
"6130","Suki Teahouse Limited","2016-17","10,000","25,497",0,"Northern Ireland","Belfast",10831,"Manufacturing","Unit 6 Twin Spires Centre","BT13 2JF"
"6131","Output Digital","2016-17","3,087","6,300",0,"Northern Ireland","Belfast",62020,"Information & Communication","The Ideas Factory","BT3 9ED"
"6132","DM Innovations Ltd","2016-17","3,670","7,340",0,"Northern Ireland","Newry, Mourne and Down",82990,"Admin & Support Service Activities","54A Main Street","BT33 0AE"
"6133","Voscuris Limited","2016-17","15,000","39,000",0,"Northern Ireland","Belfast",62090,"Information & Communication","Arthur House","BT1 4GB"
"6134","Sixty-5","2016-17","30,675","102,250",0,"Northern Ireland","Belfast",28302,"Manufacturing","Farset Labs","BT12 5GH"
"6135","Punjana Limited","2016-17","49,800","196,000",2,"Northern Ireland","Belfast",10831,"Manufacturing","2 Carnforth Street","BT5 4QA"
"6136","Feisfayre","2017-18","30,000","374,500",6,"Northern Ireland","Belfast",47710,"Wholesale & Retail Trade & Repair of Vehicles","Unit 6B Glenwood Business Park","BT17 0YU"
"6137","Clandeboye Lodge Hotel","2017-18","39,750","226,050",2,"Northern Ireland","Ards and North Down",55100,"Accommodation & Food Service Activities","10 Estate Road","BT19 1UR"
"6138","Surfaceform","2016-17","2,640","5,280",0,"Northern Ireland","Mid Ulster",43330,"Construction","A19 Kilcronagh Business Park","BT80 9HG"
"6139","ATG Services (Ireland) Ltd","2016-17","6,751","13,502",0,"Northern Ireland","Causeway Coast and Glens",38110,"Water Supply, Sewerage, Waste Management & Remediation Activities","Unit 33","BT52 2NR"
"6140","Causeway Sensors Limited","2017-18","97,304","218,250",0,"Northern Ireland","Belfast",21200,"Manufacturing","63 University Road","BT7 1NF"
"6141","Cathal Grant Design & Management Ltd","2016-17","1,100","2,200",0,"Northern Ireland","Newry, Mourne and Down",71121,"Professional, Scientific & Technical Activities","Unit 1, 20 Derryboy Road","BT35 6QH"
"6142","Clinty Chemicals Limited","2017-18","19,750","19,750",0,"Northern Ireland","Belfast",20130,"Manufacturing","27 Duncrue Street","BT3 9AR"
"6143","Records Doctor","2016-17","350","700",0,"Northern Ireland","Newry, Mourne and Down",62020,"Information & Communication","Office 11 Linenhall House","BT35 6PH"
"6144","Ecohog Limited","2016-17","1,780","3,560",0,"Northern Ireland","Fermanagh and Omagh",28920,"Manufacturing","Quarry Road","BT79 9JX"
"6145","Belfast Foiling Company","2016-17","1,170","2,340",0,"Northern Ireland","Antrim and Newtownabbey",18130,"Manufacturing","c/o 5 Enterprise  Way","BT36 4EW"
"6146","Blue Build Insulation Ltd","2016-17","1,975","3,950",0,"Northern Ireland","Ards and North Down",74909,"Professional, Scientific & Technical Activities","Unit 1 Bluebuild Business Park","BT23 7SZ"
"6147","AJC Electrical","2017-18","41,850","148,000",2,"Northern Ireland","Newry, Mourne and Down",27120,"Manufacturing","34 - 36 Main Street","BT33 0AD"
"6148","Michael Herron Architects","2016-17","600","1,200",0,"Northern Ireland","Mid Ulster",71129,"Professional, Scientific & Technical Activities","64A Main Street","BT71 4NB"
"6149","Michael Herron Architects","2016-17","668","1,335",0,"Northern Ireland","Mid Ulster",71129,"Professional, Scientific & Technical Activities","64A Main Street","BT71 4NB"
"6150","Williams Industrial Services Limited","2017-18","22,500","22,500",0,"Northern Ireland","Antrim and Newtownabbey",43210,"Construction","Ceased Trading",NA
"6151","JF McKenna Limited","2016-17","675","1,350",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",22290,"Manufacturing","66 Cathedral Road","BT61 8AE"
"6152","In Your Element Ltd","2016-17","23,250","23,250",0,"Northern Ireland","Derry City and Strabane",62020,"Information & Communication","25-31 The Diamond","BT48 6HP"
"6153","Shebelle Limited","2016-17","698","1,395",0,"Northern Ireland","Belfast",96020,"Other Service Activities","12-16 Bridge Street","BT1 1LU"
"6154","Decora Blind Systems Limited","2017-18","24,507","75,756",0,"Northern Ireland","Lisburn and Castlereagh",13921,"Manufacturing","1 Ferguson Drive","BT28 2FL"
"6155","Briefed Limited","2016-17","9,000","18,000",0,"Northern Ireland","Belfast",62020,"Information & Communication","Arthur House","BT1 4GB"
"6156","Aetopia Limited","2016-17","2,400","4,800",0,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities","186 Lisburn Road","BT9 6AL"
"6157","Mindflood Ltd","2016-17","1,462","2,923",0,"Northern Ireland","Ards and North Down",82990,"Admin & Support Service Activities","Second Floor","BT5 5DY"
"6158","Integrated Timber Solutions Limited","2016-17","3,250","6,500",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",16240,"Manufacturing","42 Derryhale Lane","BT62 4HL"
"6159","Cleaver Fulton Rankin Limited","2016-17","2,975","5,950",0,"Northern Ireland","Belfast",69100,"Professional, Scientific & Technical Activities","50 Bedford Street","BT2 7FW"
"6160","PGY Group Limited","2016-17","1,470","3,000",0,"Northern Ireland","Belfast",62011,"Information & Communication","108-112 Fifth Floor","BT1 1DL"
"6161","Sign Reload","2016-17","6,860","16,800",0,"Northern Ireland","Mid Ulster",32990,"Manufacturing","Unit 60-61","BT71 6JT"
"6162","IT3SIXTY","2016-17","10,000","33,946",0,"Northern Ireland","Belfast",62090,"Information & Communication","3 Wellington Park","BT9 6DJ"
"6163","Axis Technology & Development Limited","2016-17","3,060","7,650",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",71129,"Professional, Scientific & Technical Activities","39 Hunters Hill Road","BT63 6AL"
"6164","Causeway Sensors Limited","2016-17","12,000","40,000",1,"Northern Ireland","Belfast",21200,"Manufacturing","63 University Road","BT7 1NF"
"6165","Yellow Moon Post Production Limited","2016-17","8,400","16,800",0,"Northern Ireland","Ards and North Down",59120,"Information & Communication","30 Shore Road","BT18 9HX"
"6166","Exact CNC (NI) Ltd","2016-17","4,750","9,500",0,"Northern Ireland","Newry, Mourne and Down",25620,"Manufacturing","Units 7-8 Craigmore Mill Industrial Estate","BT35 6JR"
"6167","Exact CNC (NI) Ltd","2016-17","3,849","7,698",0,"Northern Ireland","Newry, Mourne and Down",25620,"Manufacturing","Units 7-8 Craigmore Mill Industrial Estate","BT35 6JR"
"6168","M T Waste Management & Manufacturing","2016-17","9,875","19,750",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25290,"Manufacturing","18 Rockstown Road","BT60 2HF"
"6169","The Electric Storage Company","2016-17","22,500","22,500",0,"Northern Ireland","Causeway Coast and Glens",82990,"Admin & Support Service Activities","Innovation Factory","BT12 7DG"
"6170","MoreySmith Limited","2016-17","78,000","834,000",13,"Great Britain","Belfast",71110,"Professional, Scientific & Technical Activities","3rd Floor Arnott House","BT1 1LU"
"6171","Axis Technology & Development Limited","2017-18","28,540","76,506",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",71129,"Professional, Scientific & Technical Activities","39 Hunters Hill Road","BT63 6AL"
"6172","TotalMobile Solutions Ltd","2017-18","869,384","3,585,383",61,"Northern Ireland","Belfast",62020,"Information & Communication","Pilot Point","BT1 3BG"
"6173","Groundswell Growth Limited","2016-17","1,050","2,100",0,"Northern Ireland","Antrim and Newtownabbey",62020,"Information & Communication","1 Edward Street","BT1 2LR"
"6174","Boxlight Group Limited","2017-18","76,670","246,997",0,"United States of America","Lisburn and Castlereagh",26511,"Manufacturing","Unit 8 Carrowreagh Business Park","BT16 1QQ"
"6175","O Neill Communication Ltd","2016-17","15,366","50,183",0,"Northern Ireland","Fermanagh and Omagh",26400,"Manufacturing","Ceased Trading",NA
"6176","The Sound House (NI) Limited","2016-17","375","750",0,"Northern Ireland","Belfast",59200,"Information & Communication","Cunningham House","BT4 2LN"
"6177","Cathal Grant Design & Management Ltd","2016-17","74,000","542,000",10,"Northern Ireland","Newry, Mourne and Down",71121,"Professional, Scientific & Technical Activities","Unit 1, 20 Derryboy Road","BT35 6QH"
"6178","Beacon Broadband","2016-17","3,334","9,022",0,"Northern Ireland","Derry City and Strabane",26309,"Manufacturing","1 Collon Terrace","BT48 7QP"
"6179","Applied Systems, Inc.","2017-18","75,754","419,215",0,"United States of America","Belfast",62010,"Information & Communication","The Gas Office","BT7 2JD"
"6180","C & J Meats","2016-17","1,250","2,500",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10110,"Manufacturing","77 Red Lion Road","BT61 8NU"
"6181","Shebelle Limited","2016-17","1,600","4,000",0,"Northern Ireland","Belfast",96020,"Other Service Activities","12-16 Bridge Street","BT1 1LU"
"6182","M T Waste Management & Manufacturing","2017-18","14,295","47,650",1,"Northern Ireland","Armagh City, Banbridge and Craigavon",25290,"Manufacturing","18 Rockstown Road","BT60 2HF"
"6183","BCM Security Associates Ltd","2016-17","4,840","13,050",0,"Northern Ireland","Causeway Coast and Glens",80200,"Admin & Support Service Activities","Limavady Business Park","BT49 0HR"
"6184","SIGN IT","2016-17","4,875","9,750",0,"Northern Ireland","Causeway Coast and Glens",25110,"Manufacturing","8 Wattstown Business Park","BT52 1BS"
"6185","Exploristics Ltd","2017-18","80,000","670,000",8,"Northern Ireland","Belfast",63110,"Information & Communication","24 Linenhall St","BT2 8BG"
"6186","Applied Systems, Inc.","2017-18","250,000","3,500,893",50,"United States of America","Belfast",62010,"Information & Communication","The Gas Office","BT7 2JD"
"6187","Performance Alloys.com","2016-17","25,000","69,420",0,"Northern Ireland","Antrim and Newtownabbey",45320,"Wholesale & Retail Trade & Repair of Vehicles","Unit 5 Antrim Business Park","BT41 4LD"
"6188","Flint Studios Ltd","2017-18","75,000","801,152",10,"Northern Ireland","Belfast",62020,"Information & Communication","Unit 6a Ravenhill Business Park","BT6 8AW"
"6189","Contractuary Ltd","2016-17","14,845","77,500",1,"Northern Ireland","Causeway Coast and Glens",82990,"Admin & Support Service Activities","5 Station Court","BT55 7UB"
