"","business_name","financial_year_of_offer","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","SIC_sector"
"7645","CET Limited","2018-19","28,800",1,"Northern Ireland","OTHERSERVICE"
"7646","Churchill Mouldings Limited","2018-19","29,920",1,"Northern Ireland","MANUFAC"
"7647","Modius Health","2017-18","19,125",1,"Northern Ireland","MANUFAC"
"7648","SDC Trailers Limited","2018-19","3,691,135",1,"China","MANUFAC"
"7649","Arris Global Ltd","2018-19","1,281,265",1,"Great Britain","INFO&COMMU"
"7650","Graham Steelworks & Engineering Ltd","2018-19","613,612",13,"Northern Ireland","MANUFAC"
"7651","MMS NI Ltd","2018-19","84,639",1,"Northern Ireland","WHOLESALE&RETAIL"
"7652","InnovateXL","2017-18","19,800",1,"Northern Ireland","INFO&COMMU"
"7653","John C Brow Limited","2018-19","584,437",1,"Northern Ireland","MANUFAC"
"7654","hpc","2017-18","4,800",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7655","Bubblebum Holdings Limited","2017-18","16,200",1,"Northern Ireland","MANUFAC"
"7656","Agrihealth (N.I.) Limited","2017-18","16,620",1,"Northern Ireland","MANUFAC"
"7657","Mayfair Civils","2018-19","726,000",12,"Northern Ireland","CONST"
"7658","Ascot Sign Systems","2017-18","7,165",1,"Northern Ireland","MANUFAC"
"7659","Markey Drilling Ltd","2017-18","13,940",1,"Northern Ireland","CONST"
"7660","Healthy Kidz CIC","2017-18","1,500",1,"Northern Ireland","PUBLICADMIN&DEFENCE"
"7661","Kareer Hub","2017-18","8,000",1,"Northern Ireland","INFO&COMMU"
"7662","Boomer Industries Limited","2018-19","29,900",1,"Northern Ireland","MANUFAC"
"7663","Electro Mech Agri Limited","2018-19","101,000",3,"Northern Ireland","MANUFAC"
"7664","C & H Electrical","2018-19","316,800",7,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7665","Somerville Shopfitting","2017-18","15,000",1,"Northern Ireland","MANUFAC"
"7666","Water Solutions Ireland Ltd.","2017-18","10,200",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7667","RAPIDWALL LTD","2018-19","298,000",7,"Northern Ireland","MANUFAC"
"7668","Axis Bioservices Limited","2018-19","125,396",1,"Northern Ireland","HUMAN&SOCIALWORK"
"7669","Dawson Manufacturing & Engineering Ltd","2018-19","30,466",1,"Northern Ireland","MANUFAC"
"7670","JFC Distribution Limited","2017-18","6,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"7671","Sentireal Limited","2017-18","2,690",1,"Northern Ireland","INFO&COMMU"
"7672","ITS Plant-Tech Ltd","2018-19","10,445",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7673","Able Gas","2017-18","19,982",1,"Northern Ireland","MANUFAC"
"7674","Donnell & Ellis Engineering Limited","2017-18","55,694",1,"Northern Ireland","MANUFAC"
"7675","Allsop Consulting Ltd.","2018-19","19,710",1,"Northern Ireland","INFO&COMMU"
"7676","Eire Designs","2017-18","9,850",1,"Northern Ireland","MANUFAC"
"7677","Donegal Rapeseed Oil","2017-18","24,350",1,"Irish Republic","MANUFAC"
"7678","Yelo Limited","2018-19","207,606",3,"Northern Ireland","MANUFAC"
"7679","Brolis Photonics Solutions Ltd","2018-19","130,700",3,"Lithuania","MANUFAC"
"7680","Armstrong Medical Ltd","2017-18","443,830",1,"Northern Ireland","MANUFAC"
"7681","Tennis Fundamentals","2017-18","17,065",1,"Northern Ireland","EDUC"
"7682","Strickland Ireland Limited","2017-18","8,706",1,"Northern Ireland","MANUFAC"
"7683","Re:Sure Intelligence Ltd","2017-18","12,226",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7684","Tennants Textile Colours Limited","2017-18","4,000",1,"Great Britain","MANUFAC"
"7685","Spires Gallery Ltd","2017-18","4,000",1,"Northern Ireland","ART&ENTER&RECREATION"
"7686","Mahlatini Travel","2017-18","4,000",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7687","A W Control Systems Ltd","2018-19","3,000",1,"Northern Ireland","MANUFAC"
"7688","Orby Engineering","2018-19","351,360",9,"Northern Ireland","MANUFAC"
"7689","Pitchbooking","2017-18","2,015",1,"Northern Ireland","INFO&COMMU"
"7690","Axial3D","2018-19","52,520",1,"Northern Ireland","MANUFAC"
"7691","AF White","2018-19","38,010",1,"Northern Ireland","MANUFAC"
"7692","Francis Dinsmore, Limited","2017-18","7,880",1,"Northern Ireland","MANUFAC"
"7693","Cottonmount Trading Ltd","2018-19","18,080",1,"Northern Ireland","WHOLESALE&RETAIL"
"7694","Vox Financial Partners Ltd","2018-19","477,078",1,"Northern Ireland","FINANCIAL&INSURANCE"
"7695","AquaQ Analytics Ltd","2018-19","549,605",1,"Northern Ireland","FINANCIAL&INSURANCE"
"7696","Pure Fitout Associated Limited","2018-19","200,300",3,"Northern Ireland","MANUFAC"
"7697","Garage Door Systems Limited","2018-19","3,357,000",18,"Northern Ireland","MANUFAC"
"7698","Ampliphae Ltd","2018-19","636,016",1,"Northern Ireland","INFO&COMMU"
"7699","Team Industries Limited","2018-19","56,788",1,"Northern Ireland","MANUFAC"
"7700","Process Automation & Calibrations Limited","2018-19","355,000",7,"Northern Ireland","CONST"
"7701","Revive Express Beauty Ltd","2018-19","160,000",3,"Northern Ireland","WHOLESALE&RETAIL"
"7702","Gilfresh Produce","2018-19","91,075",1,"Northern Ireland","MANUFAC"
"7703","The Oil Market Journal ","2018-19","36,000",1,"Northern Ireland","FINANCIAL&INSURANCE"
"7704","Spires Gallery Ltd","2018-19","114,500",5,"Northern Ireland","ART&ENTER&RECREATION"
"7705","Reynolds Sports Limited","2018-19","30,211",1,"Northern Ireland","ART&ENTER&RECREATION"
"7706","Civco Ltd","2018-19","5,164",1,"Northern Ireland","CONST"
"7707","INCISIV","2018-19","4,705",1,"Northern Ireland","INFO&COMMU"
"7708","Building Products Distributors Limited","2018-19","253,600",4,"Northern Ireland","WHOLESALE&RETAIL"
"7709","Funds-Axis Limited","2018-19","16,000",1,"Northern Ireland","FINANCIAL&INSURANCE"
"7710","Easca Mattress Ltd","2018-19","54,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"7711","Wilsons Conservation Building Products Ireland","2018-19","13,903",1,"Northern Ireland","MANUFAC"
"7712","SFM Engineering","2018-19","3,000",1,"Northern Ireland","MANUFAC"
"7713","Baider Ltd","2018-19","156,870",1,"Northern Ireland","INFO&COMMU"
"7714","P McCann & Sons","2018-19","38,410",1,"Northern Ireland","WHOLESALE&RETAIL"
"7715","EOS IT Solutions","2018-19","83,583",1,"Northern Ireland","INFO&COMMU"
"7716","Diamond Systems","2018-19","252,000",6,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7717","Electro Mech Agri Limited","2018-19","4,000",1,"Northern Ireland","MANUFAC"
"7718","Steel Structures NI","2018-19","392,500",8,"Northern Ireland","MANUFAC"
"7719","Oak Grove Cabins Ltd","2018-19","1,708,000",29,"Northern Ireland","CONST"
"7720","Eliza Grace Limited","2018-19","88,000",1,"Northern Ireland","MANUFAC"
"7721","PickaShift","2018-19","25,000",1,"Northern Ireland","INFO&COMMU"
"7722","Allsop Consulting Ltd.","2018-19","24,886",1,"Northern Ireland","INFO&COMMU"
"7723","Kurate International Ltd","2018-19","15,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"7724","Suki Teahouse Limited","2018-19","4,000",1,"Northern Ireland","MANUFAC"
"7725","Liberty Information Technology Limited","2018-19","30,000",1,"United States Of America","INFO&COMMU"
"7726","Granville Ecopark Limited","2018-19","4,000",1,"Northern Ireland","MANUFAC"
"7727","Teethforever Limited","2018-19","15,600",1,"Northern Ireland","HUMAN&SOCIALWORK"
"7728","Petal Postforming Limited","2018-19","4,000",1,"Northern Ireland","MANUFAC"
"7729","John J. Doyle Limited","2018-19","4,000",1,"Northern Ireland","CONST"
"7730","Tennis Fundamentals","2018-19","15,000",1,"Northern Ireland","EDUC"
"7731","Tailored Image Ltd","2018-19","5,940",1,"Northern Ireland","MANUFAC"
"7732","Wilson Sloan Consulting","2018-19","9,134",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7733","Ardboe Coldstore Limited ","2018-19","4,000",1,"Northern Ireland","TRANSPORT&STORAGE"
"7734","Gofyt Limited","2018-19","15,000",1,"Northern Ireland","INFO&COMMU"
"7735","Mackle Petfoods","2018-19","4,000",1,"Northern Ireland","MANUFAC"
"7736","W&G Baird Limited","2018-19","4,800",1,"Northern Ireland","MANUFAC"
"7737","Moore Concrete Products Limited","2018-19","917,600",11,"Northern Ireland","MANUFAC"
"7738","Danske Bank","2018-19","3,000,062",57,"Denmark","FINANCIAL&INSURANCE"
"7739","SLA","2018-19","46,430",1,"Northern Ireland","INFO&COMMU"
"7740","Scribble Resources Limited","2018-19","3,900",1,"Northern Ireland","EDUC"
"7741","Aiken PR","2018-19","4,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7742","CK International Limited","2018-19","4,000",1,"Northern Ireland","MANUFAC"
"7743","Abbey Upholsterers Limited","2018-19","29,806",1,"Northern Ireland","MANUFAC"
"7744","Selazar.com","2018-19","239,295",1,"Great Britain","INFO&COMMU"
"7745","O'Hagan Crane Hire Ltd","2018-19","30,800",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7746","Think People Consulting Ltd","2018-19","9,000",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7747","M. Clarke & Sons Contracts Limited","2018-19","18,000",1,"Northern Ireland","CONST"
"7748","Knight Systems Ltd","2018-19","27,062",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7749","Knight Systems Ltd","2018-19","20,653",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7750","W. G. Buchanan & Son Limited","2018-19","46,417",1,"Northern Ireland","WHOLESALE&RETAIL"
"7751","RAPIDWALL LTD","2018-19","5,496",1,"Northern Ireland","MANUFAC"
"7752","B4B Networks  Ltd","2018-19","484,000",8,"Northern Ireland","INFO&COMMU"
"7753","Capitol Essentials","2018-19","49,691",1,"Northern Ireland","WHOLESALE&RETAIL"
"7754","Hybrid Mail Solutions Limited","2018-19","240,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7755","Norbev Limited","2018-19","8,470",1,"Northern Ireland","MANUFAC"
"7756","Causeway Securities Limited","2018-19","544,000",9,"Great Britain","FINANCIAL&INSURANCE"
"7757","Geda Construction","2018-19","102,769",1,"Northern Ireland","CONST"
"7758","AF White","2018-19","2,295",1,"Northern Ireland","MANUFAC"
"7759","Fusion Antibodies plc","2018-19","1,461,000",29,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7760","B M Steel Fabrications Limited","2018-19","3,962",1,"Northern Ireland","MANUFAC"
"7761","Itty Bitty Book Co.","2018-19","20,000",1,"Northern Ireland","INFO&COMMU"
"7762","Fuel Tank Shop Limited","2018-19","1,225,000",17,"Irish Republic","WATERSUPPLY&SEWERGE"
"7763","Smart Care Doc Ltd","2018-19","198,982",1,"Northern Ireland","HUMAN&SOCIALWORK"
"7764","Paradoxx Ltd","2018-19","331,200",1,"Northern Ireland","WHOLESALE&RETAIL"
"7765","A & N Shilliday & Co Ltd","2018-19","507,000",8,"Northern Ireland","OTHERSERVICE"
"7766","Watertight International","2018-19","220,000",3,"Northern Ireland","MANUFAC"
"7767","CDE Global Limited","2018-19","341,759",17,"Northern Ireland","MANUFAC"
"7768","Afterbook Limited","2018-19","20,000",1,"Northern Ireland","OTHERSERVICE"
"7769","Health Gainz","2018-19","20,000",1,"Northern Ireland","INFO&COMMU"
"7770","Uleska Ltd","2018-19","99,625",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7771","Gofyt Limited","2018-19","20,000",1,"Northern Ireland","INFO&COMMU"
"7772","Taunt Ltd","2018-19","20,000",1,"Northern Ireland","INFO&COMMU"
"7773","Repstor Limited","2018-19","109,500",1,"Northern Ireland","INFO&COMMU"
"7774","Dale Farm Limited","2018-19","1,067,170",1,"Northern Ireland","MANUFAC"
"7775","See Sense","2018-19","531,813",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7776","Balcas Timber Limited ","2018-19","50,036",1,"Netherlands","MANUFAC"
"7777","House of Mara","2018-19","22,700",1,"Northern Ireland","MANUFAC"
"7778","Urban Innovations Limited","2018-19","43,100",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7779","MR Foods","2018-19","518,000",5,"Northern Ireland","MANUFAC"
"7780","Dawson Manufacturing & Engineering Ltd","2018-19","67,650",2,"Northern Ireland","MANUFAC"
"7781","Trimedika Limited","2018-19","4,000",1,"Northern Ireland","MANUFAC"
"7782","The Skunk Works Surfboard Company","2018-19","2,040",1,"Northern Ireland","MANUFAC"
"7783","BMI Trailers Limited","2018-19","103,445",1,"Northern Ireland","MANUFAC"
"7784","Tailored Image Ltd","2018-19","167,705",1,"Northern Ireland","MANUFAC"
"7785","Process Automation & Calibrations Limited","2018-19","3,900",1,"Northern Ireland","CONST"
"7786","WD Meats","2018-19","371,123",1,"Northern Ireland","MANUFAC"
"7787","Liopa Ltd","2018-19","386,580",1,"Northern Ireland","INFO&COMMU"
"7788","Kraydel Limited","2018-19","6,025",1,"Northern Ireland","INFO&COMMU"
"7789","McKeown Fine Foods Limited","2018-19","251,494",1,"Northern Ireland","MANUFAC"
"7790","Mof Technologies Limited","2018-19","4,500",1,"Northern Ireland","MANUFAC"
"7791","FP McCann Limited","2018-19","110,000",3,"Northern Ireland","CONST"
"7792","CEON Machinery Control Ltd","2018-19","17,577",1,"Northern Ireland","MANUFAC"
"7793","Belmore Meats","2018-19","12,220",1,"Northern Ireland","MANUFAC"
"7794","Evergreen Horticultural Products","2018-19","1,895",1,"Northern Ireland","MINING&QUERRY"
"7795","Sydney B Scott & Sons","2018-19","55,500",4,"Northern Ireland","MANUFAC"
"7796","ProAxSiS Ltd","2018-19","168,778",1,"Northern Ireland","MANUFAC"
"7797","Advanced Electronic Solutions Global Ltd","2018-19","24,145",1,"Northern Ireland","MANUFAC"
"7798","theVisorshop.com","2018-19","272,000",7,"Northern Ireland","MANUFAC"
"7799","P W S Ireland Limited","2018-19","40,000",2,"Irish Republic","MANUFAC"
"7800","Xperi","2018-19","146,817",1,"United States Of America","INFO&COMMU"
"7801","PILLPACPLUS LTD","2018-19","194,186",1,"Northern Ireland","HUMAN&SOCIALWORK"
"7802","Burren Balsamics Ltd","2018-19","51,550",2,"Northern Ireland","MANUFAC"
"7803","ARB Process Engineering Limited","2018-19","466,000",7,"Northern Ireland","MANUFAC"
"7804","Western Brand Poultry Products (NI) Ltd","2018-19","755,000",18,"Irish Republic","MANUFAC"
"7805","Ardboe Coldstore Limited ","2018-19","171,022",1,"Northern Ireland","TRANSPORT&STORAGE"
"7806","Du Pont (U.K.) Industrial Limited","2018-19","69,905",1,"United States Of America","MANUFAC"
"7807","Taste and Tour One Limited","2018-19","17,000",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7808","Andrew Ingredients","2018-19","55,100",1,"Northern Ireland","MANUFAC"
"7809","Taste and Tour One Limited","2018-19","5,990",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7810","Kitchen Bakes","2018-19","14,845",1,"Northern Ireland","MANUFAC"
"7811","Smurfit Kappa Lurgan","2018-19","98,857",1,"Irish Republic","MANUFAC"
"7812","Kestrel Hydraulics Limited","2018-19","59,835",1,"Northern Ireland","MANUFAC"
"7813","Crossland Tankers Limited","2018-19","29,298",1,"Northern Ireland","MANUFAC"
"7814","Outside In","2018-19","257,240",6,"Northern Ireland","WHOLESALE&RETAIL"
"7815","Go Testify Limited","2018-19","309,550",1,"Northern Ireland","INFO&COMMU"
"7816","Bespoke NI","2018-19","10,619",1,"Northern Ireland","MANUFAC"
"7817","Bluesona Limited","2018-19","6,000",1,"Northern Ireland","MANUFAC"
"7818","Champion Sound Music","2018-19","113,000",4,"Northern Ireland","ART&ENTER&RECREATION"
"7819","McAuley Precision Limited","2018-19","21,550",1,"Northern Ireland","MANUFAC"
"7820","Homeliving","2018-19","60,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7821","Big Wet Fish Hosting","2018-19","179,032",7,"Northern Ireland","INFO&COMMU"
"7822","Primestock Meats","2018-19","667,716",5,"Northern Ireland","MANUFAC"
"7823","Edge Innovate (NI) Limited","2018-19","9,640",1,"Northern Ireland","MANUFAC"
"7824","Design Electrical","2018-19","3,342",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7825","The Skunk Works Surfboard Company","2018-19","22,890",1,"Northern Ireland","MANUFAC"
"7826","Feral Fire & Architectural Glazing Ltd","2018-19","119,500",3,"Northern Ireland","MANUFAC"
"7827","QMAC Construction Ltd","2018-19","55,586",1,"Northern Ireland","CONST"
"7828","Causeway Geotech Limited","2018-19","2,157,000",21,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7829","Loughtec Limited","2018-19","349,000",7,"Northern Ireland","INFO&COMMU"
"7830","Lowden Guitars","2018-19","80,222",1,"Northern Ireland","MANUFAC"
"7831","CBD Powerwashers Ltd","2018-19","14,388",1,"Northern Ireland","MANUFAC"
"7832","Profile Tree","2018-19","545,500",10,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7833","DWG Tools Limited","2018-19","92,515",1,"Northern Ireland","WHOLESALE&RETAIL"
"7834","Rapid International Limited","2018-19","74,450",1,"Northern Ireland","MANUFAC"
"7835","Abacus Legal Recruitment Ltd","2018-19","2,425",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7836","Datum Tool Design Ltd","2018-19","379,833",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7837","IMC Glass","2018-19","52,500",3,"Northern Ireland","MANUFAC"
"7838","Biztech Software","2018-19","295,000",7,"Northern Ireland","INFO&COMMU"
"7839","AquaQ Analytics Ltd","2018-19","2,320,000",42,"Northern Ireland","FINANCIAL&INSURANCE"
"7840","Big Motive Ltd","2018-19","11,726",1,"Northern Ireland","INFO&COMMU"
"7841","Gilfresh Produce","2018-19","7,500",1,"Northern Ireland","MANUFAC"
"7842","Inova Gates Limited","2018-19","15,256",1,"Northern Ireland","MANUFAC"
"7843","Inova Gates Limited","2018-19","5,850",1,"Northern Ireland","MANUFAC"
"7844","Power Grid Civils Limited","2018-19","8,718",1,"Northern Ireland","CONST"
"7845","Cloughbane Farm Foods","2018-19","63,300",1,"Northern Ireland","MANUFAC"
"7846","Boran Mopack","2018-19","110,880",1,"Northern Ireland","MANUFAC"
"7847","Seating Matters Ltd","2018-19","564,764",9,"Northern Ireland","MANUFAC"
"7848","2NGaming Limited","2018-19","133,713",1,"Northern Ireland","INFO&COMMU"
"7849","Etain Limited","2018-19","198,920",1,"Northern Ireland","INFO&COMMU"
"7850","Bruce Engineering Services (NI) Ltd","2018-19","30,695",1,"Northern Ireland","MANUFAC"
"7851","Islander Kelp Ltd","2018-19","146,500",3,"Northern Ireland","MANUFAC"
"7852","Joule Group","2018-19","15,620",1,"Great Britain","PROFESSIONAL&SCI&TECH"
"7853","Boundary Brewing","2018-19","539,600",10,"Northern Ireland","MANUFAC"
"7854","AX Board Ltd","2018-19","45,285",1,"Northern Ireland","MANUFAC"
"7855","Setanta - The Construction Company","2018-19","73,872",1,"Northern Ireland","CONST"
"7856","Alchemy Technology Services","2018-19","3,412,446",1,"Great Britain","INFO&COMMU"
"7857","Uleska Ltd","2018-19","19,200",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7858","Taxi & Bus Conversion Limited","2018-19","139,308",1,"Northern Ireland","MANUFAC"
"7859","Nitronica Limited","2018-19","6,600",1,"Northern Ireland","MANUFAC"
"7860","Eurofab Engineering","2018-19","534,000",12,"Northern Ireland","MANUFAC"
"7861","Fleming Agri-Products Limited","2018-19","3,663,300",27,"Northern Ireland","MANUFAC"
"7862","Importwise Ltd","2018-19","20,000",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7863","Overwatch Research Ltd","2018-19","20,000",1,"Northern Ireland","INFO&COMMU"
"7864","Eirtech Aviation Composites Limited","2018-19","30,000",1,"Irish Republic","MANUFAC"
"7865","Allsop Consulting Ltd.","2018-19","286,200",4,"Northern Ireland","INFO&COMMU"
"7866","Bellamoon Limited","2018-19","20,000",1,"Northern Ireland","MANUFAC"
"7867","INCISIV","2018-19","20,000",1,"Northern Ireland","INFO&COMMU"
"7868","Loyalbe Ltd","2018-19","20,000",1,"Northern Ireland","INFO&COMMU"
"7869","Nugent Coachworks","2018-19","124,922",1,"Northern Ireland","MANUFAC"
"7870","Denman International Limited","2018-19","105,650",1,"Northern Ireland","MANUFAC"
"7871","Specialist Joinery","2018-19","400,536",1,"Northern Ireland","MANUFAC"
"7872","Xsell Team Limited","2018-19","19,870",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7873","James Leckey Design Limited","2018-19","26,000",1,"Northern Ireland","MANUFAC"
"7874","J A Lyttle","2018-19","6,800",1,"Northern Ireland","WHOLESALE&RETAIL"
"7875","AM Brands","2018-19","135,840",2,"Northern Ireland","WHOLESALE&RETAIL"
"7876","Lanyon Communications Limited","2018-19","236,000",5,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7877","EAE Ltd","2018-19","627,500",11,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7878","LSR Support Limited","2018-19","513,640",14,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7879","Teemore Engineering Limited","2018-19","15,000",1,"Northern Ireland","MANUFAC"
"7880","First Reaction Ltd","2018-19","9,360",1,"Northern Ireland","MANUFAC"
"7881","Bushtown Hotel","2018-19","12,464",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"7882","Automated Metrics","2018-19","1,510",1,"Northern Ireland","INFO&COMMU"
"7883","Ireland Craft Beers","2018-19","9,910",1,"Northern Ireland","WHOLESALE&RETAIL"
"7884","IMED (NI) Limited","2018-19","98,738",1,"Northern Ireland","MANUFAC"
"7885","Jenkip Ltd ","2018-19","12,500",1,"Northern Ireland","MANUFAC"
"7886","Screen Clinical Limited","2018-19","178,200",3,"Northern Ireland","WHOLESALE&RETAIL"
"7887","Manor Architects Ltd","2018-19","167,500",3,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7888","Geosolutions Engineering UK Limited","2018-19","22,516",1,"Great Britain","PROFESSIONAL&SCI&TECH"
"7889","Meteor Electrical Limited","2018-19","359,000",8,"Northern Ireland","INFO&COMMU"
"7890","Walsin Ltd","2018-19","30,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7891","Think People Consulting Ltd","2018-19","234,000",5,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7892","Axon Financial Systems Limited","2018-19","758,903",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7893","McGirr Engineering Ltd","2018-19","54,000",1,"Northern Ireland","MANUFAC"
"7894","Fine Point Films Ltd","2018-19","50,323",1,"Northern Ireland","INFO&COMMU"
"7895","Yoursupportsystem.com Ltd","2018-19","10,000",1,"Northern Ireland","INFO&COMMU"
"7896","Killyhevlin Hotel Limited","2018-19","2,400",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"7897","EZY-Hitch","2018-19","2,500",1,"Northern Ireland","MANUFAC"
"7898","David Henderson Design Ltd","2018-19","121,444",1,"Northern Ireland","ART&ENTER&RECREATION"
"7899","Edgeways","2018-19","3,820",1,"Northern Ireland","INFO&COMMU"
"7900","Electro Mech Agri Limited","2018-19","104,655",1,"Northern Ireland","MANUFAC"
"7901","Walsin Ltd","2018-19","660,000",14,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7902","BLK Box","2018-19","385,000",11,"Northern Ireland","ART&ENTER&RECREATION"
"7903","Asbestos Control Services","2018-19","16,570",1,"Northern Ireland","OTHERSERVICE"
"7904","Output Digital","2018-19","115,420",1,"Northern Ireland","INFO&COMMU"
"7905","Lanyon Communications Limited","2018-19","8,865",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7906","Macpac Refuse Bodies Ltd","2018-19","1,970",1,"Northern Ireland","MANUFAC"
"7907","Indigo (NI) Ltd","2018-19","440,000",8,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7908","Mount Mills","2018-19","8,100",1,"Northern Ireland","MANUFAC"
"7909","CCP Gransden Ltd","2018-19","20,250",1,"Northern Ireland","MANUFAC"
"7910","Herbst Machinery Ltd","2018-19","80,848",1,"Northern Ireland","MANUFAC"
"7911","Exact CNC (NI) Ltd","2018-19","16,236",1,"Northern Ireland","MANUFAC"
"7912","Bluesona Limited","2018-19","15,000",1,"Northern Ireland","MANUFAC"
"7913","Dennett Outdoor Ltd","2018-19","5,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"7914","Mackle Snacks","2018-19","47,570",1,"Northern Ireland","MANUFAC"
"7915","Donite Plastics Ltd","2018-19","70,000",3,"Northern Ireland","MANUFAC"
"7916","Covernet","2018-19","18,790",1,"Northern Ireland","INFO&COMMU"
"7917","PIA Rossini Ltd","2018-19","31,135",1,"Northern Ireland","MANUFAC"
"7918","Sendmybag.com","2018-19","280,000",9,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7919","Morrow Foods","2018-19","318,820",5,"Northern Ireland","MANUFAC"
"7920","B M Steel Fabrications Limited","2018-19","25,200",3,"Northern Ireland","MANUFAC"
"7921","Waterworx Robotics Limited","2018-19","34,124",1,"Northern Ireland","MANUFAC"
"7922","Causeway Aero Limited","2018-19","15,780",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7923","Joule Group","2018-19","126,774",1,"Great Britain","PROFESSIONAL&SCI&TECH"
"7924","Stephen Farnan Studio Ltd","2018-19","57,600",2,"Northern Ireland","MANUFAC"
"7925","Maldron Hotel Belfast City","2018-19","244,025",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"7926","DM Innovations Ltd","2018-19","3,250",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7927","Wibble Web Design Ltd","2018-19","271,100",7,"Northern Ireland","INFO&COMMU"
"7928","Cirdan Imaging Ltd","2018-19","4,800",1,"Northern Ireland","MANUFAC"
"7929","Ortho Only","2018-19","6,500",1,"Northern Ireland","WHOLESALE&RETAIL"
"7930","Design Electrical","2018-19","1,980",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"7931","PI Communication Limited","2018-19","2,550",1,"Northern Ireland","INFO&COMMU"
"7932","Specialisterne NI C.I.C.","2018-19","5,444",1,"Northern Ireland","EDUC"
"7933","Revive Express Beauty Ltd","2018-19","11,800",1,"Northern Ireland","WHOLESALE&RETAIL"
"7934","Singapore Aerospace Manufacturing Pte Ltd","2018-19","159,355",1,"Northern Ireland","MANUFAC"
"7935","Inov8 Systems Limited","2018-19","15,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"7936","Tilt-A-Dor Limited","2018-19","85,570",1,"Northern Ireland","MANUFAC"
"7937","Derry Bros Shipping Limited","2018-19","234,500",8,"Northern Ireland","TRANSPORT&STORAGE"
"7938","Legenderry Brewing Company Limited","2018-19","23,000",1,"Northern Ireland","MANUFAC"
"7939","Allied Bakeries Ireland","2018-19","102,810",1,"Great Britain","MANUFAC"
"7940","Typerite (2008) Limited","2018-19","169,502",3,"Northern Ireland","MANUFAC"
"7941","Clearhill Enterprises Limited","2018-19","7,040",1,"Northern Ireland","MANUFAC"
"7942","Clearhill Enterprises Limited","2018-19","12,922",1,"Northern Ireland","MANUFAC"
"7943","Bespoke NI","2018-19","7,380",1,"Northern Ireland","MANUFAC"
"7944","KR Annett Handling Solutions","2018-19","13,000",1,"Northern Ireland","MANUFAC"
"7945","Search Workshop Supplies","2018-19","66,344",1,"Northern Ireland","WHOLESALE&RETAIL"
