"","business_name","financial_year_of_offer","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","SIC_sector"
"184","Sembarc Limited","2014-15","62,922",1,"Northern Ireland","MANUFAC"
"185","EMS Environmental Marketing Solutions Ltd","2014-15","175,850",1,"Northern Ireland","MANUFAC"
"186","Proofpoint","2014-15","6,388,780",71,"United States of America","INFO&COMMU"
"187","Farmgate Consultancy Limited","2014-15","49,500",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"188","Phlok Ltd","2014-15","118,750",1,"Northern Ireland","INFO&COMMU"
"189","U.M.I. Foods","2014-15","502,000",16,"Northern Ireland","MANUFAC"
"190","Hilden Brewery","2014-15","262,877",5,"Northern Ireland","MANUFAC"
"191","Mackle Snacks","2014-15","362,000",5,"Northern Ireland","MANUFAC"
"192","Exploristics Ltd","2014-15","340,000",9,"Northern Ireland","INFO&COMMU"
"193","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"194","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"195","Pulse Technology Systems","2014-15","360,300",3,"Northern Ireland","INFO&COMMU"
"196","Heatherlea Fine Foods NI Limited","2014-15","16,827",1,"Northern Ireland","MANUFAC"
"197","Finlay Foods","2014-15","436,400",9,"Northern Ireland","MANUFAC"
"198","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"199","Impro Printing Ltd","2014-15","35,440",2,"Northern Ireland","MANUFAC"
"200","ShopKeep.Com","2014-15","432,845",1,"United States of America","INFO&COMMU"
"201","CCL Label Ireland Limited","2014-15","326,584",1,"Northern Ireland","MANUFAC"
"202","Maximus Crushing & Screening Ltd","2014-15","28,217",1,"Northern Ireland","MANUFAC"
"203","Cornmarket Insurance Services Limited","2014-15","441,184",17,"Northern Ireland","FINANCIAL&INSURANCE"
"204","Linden Foods Limited","2014-15","28,897,000",90,"Northern Ireland","MANUFAC"
"205","CDE Global Limited","2014-15","75,999",1,"Northern Ireland","MANUFAC"
"206","Hilden Brewery","2014-15","69,800",1,"Northern Ireland","MANUFAC"
"207","Novosco Ltd","2014-15","68,548",1,"Northern Ireland","INFO&COMMU"
"208","United Dairy Farmers Limited","2014-15","68,128",1,"Northern Ireland","MANUFAC"
"209","MJM Group","2014-15","578,145",1,"Northern Ireland","MANUFAC"
"210","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"211","Name cannot be released","2014-15","18,000",1,"Northern Ireland","OTHERSERVICE"
"212","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"213","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"214","Deloitte","2014-15","31,124,532",108,"Great Britain","PROFESSIONAL&SCI&TECH"
"215","Allstate Northern Ireland Limited","2014-15","406,345",1,"United States of America","FINANCIAL&INSURANCE"
"216","PostalSort Limited","2014-15","6,400",1,"Northern Ireland","TRANSPORT&STORAGE"
"217","RecyCo Limited","2014-15","18,346",1,"Northern Ireland","WATERSUPPLY&SEWERGE"
"218","First Derivatives Public Limited Company","2014-15","41,390,000",109,"Northern Ireland","FINANCIAL&INSURANCE"
"219","PricewaterhouseCoopers","2014-15","19,951,416",113,"Great Britain","PROFESSIONAL&SCI&TECH"
"220","Almac Group Limited","2014-15","3,490,983",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"221","Bite to Savour","2014-15","15,000",1,"Northern Ireland","MANUFAC"
"222","Intelligent Environments Europe Limited","2014-15","4,228,808",47,"Great Britain","INFO&COMMU"
"223","Rapid7","2014-15","6,277,333",63,"United States of America","INFO&COMMU"
"224","Puppet","2014-15","7,409,212",75,"United States of America","INFO&COMMU"
"225","Nicholson & Bass Limited","2014-15","61,100",2,"Northern Ireland","MANUFAC"
"226","Muckross Estate Limited","2014-15","15,450",1,"Northern Ireland","ART&ENTER&RECREATION"
"227","ECGO Limited","2014-15","14,500",1,"Northern Ireland","MANUFAC"
"228","Blue Mac (Manufacturing) Ltd","2014-15","67,676",1,"Northern Ireland","MANUFAC"
"229","Karen McAvoy Publishing Ltd","2014-15","19,950",1,"Northern Ireland","MANUFAC"
"230","Platinum Precision Engineering Limited","2014-15","283,000",5,"Northern Ireland","MANUFAC"
"231","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"232","Savile Row","2014-15","100,600",1,"Northern Ireland","MANUFAC"
"233","KME Steelworks","2014-15","176,900",1,"Irish Republic","MANUFAC"
"234","Duck Pond Tea Room","2014-15","15,900",1,"Northern Ireland","MANUFAC"
"235","Monotype Limited","2014-15","1,638,219",1,"United States Of America","INFO&COMMU"
"236","Valley Hotel","2014-15","12,005",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"237","Fluent Technology Limited","2014-15","519,000",9,"Northern Ireland","INFO&COMMU"
"238","Panache Jewellery Displays Ltd","2014-15","29,000",2,"Northern Ireland","MANUFAC"
"239","Mindflood Ltd","2014-15","7,328",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"240","John C Brow Limited","2014-15","12,100",1,"Northern Ireland","MANUFAC"
"241","Moyola Precision Engineering Limited","2014-15","60,053",1,"Northern Ireland","MANUFAC"
"242","Leisure Industry Academy","2014-15","8,163",1,"Northern Ireland","EDUC"
"243","Deli Lites","2014-15","158,800",3,"Northern Ireland","MANUFAC"
"244","BLK Box","2014-15","4,199",1,"Northern Ireland","ART&ENTER&RECREATION"
"245","Dawson Materials Handling Equipment Ltd","2014-15","39,600",1,"Northern Ireland","MANUFAC"
"246","Wrightbus Limited","2014-15","5,541,539",83,"Northern Ireland","MANUFAC"
"247","TotalMobile Solutions Ltd","2014-15","85,899",1,"Northern Ireland","INFO&COMMU"
"248","Shadow Wing Security Ltd","2014-15","3,840",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"249","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"250","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"251","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"252","Analytics Engines Limited","2014-15","980,000",11,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"253","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"254","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"255","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"256","Broighter Gold Rapeseed Oil","2014-15","13,000",2,"Northern Ireland","MANUFAC"
"257","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"258","Redburn Consulting Ltd","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"259","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"260","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"261","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"262","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"263","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"264","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"265","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"266","Name cannot be released","2014-15","18,000",1,"Northern Ireland","OTHERSERVICE"
"267","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"268","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"269","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"270","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"271","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"272","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"273","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"274","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"275","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"276","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"277","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"278","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"279","Name cannot be released","2014-15","9,000",1,"Northern Ireland","ART&ENTER&RECREATION"
"280","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"281","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
