"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"8118","G&L Scientific","2018-19","96,000","723,500",25,"Great Britain","Belfast",74909,"Professional, Scientific & Technical Activities"
"8119","BLK Box","2018-19","14,700","30,000",0,"Northern Ireland","Belfast",93190,"Arts, Entertainment & Recreation"
"8120","Botanica International Limited","2018-19","15,090","50,300",0,"Northern Ireland","Newry, Mourne and Down",21200,"Manufacturing"
"8121","Strawhill Estate Spirits Company Ltd","2018-19","48,750","342,500",6,"Northern Ireland","Armagh City, Banbridge and Craigavon",11010,"Manufacturing"
"8122","KES Group Inc Ltd","2018-19","99,000","1,832,600",20,"Northern Ireland","Derry City and Strabane",43220,"Construction"
"8123","Mourne Craft","2018-19","5,160","17,200",0,"Northern Ireland","Newry, Mourne and Down",25110,"Manufacturing"
"8124","Kinsetsu","2018-19","33,648","121,040",2,"Northern Ireland","Belfast",62020,"Information & Communication"
"8125","M. Clarke & Sons Contracts Limited","2018-19","3,160","9,000",0,"Northern Ireland","Mid and East Antrim",43290,"Construction"
"8126","In Your Element Ltd","2018-19","14,760","45,077",0,"Northern Ireland","Derry City and Strabane",62020,"Information & Communication"
"8127","WANdisco International Ltd","2018-19","29,632","63,395",0,"Great Britain","Belfast",62012,"Information & Communication"
"8128","Replify Ltd","2018-19","740","1,480",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"8129","The Talent Spot Ltd","2018-19","10,000","20,850",0,"Northern Ireland","Belfast",78109,"Admin & Support Service Activities"
"8130","The Talent Spot Ltd","2018-19","10,000","20,250",0,"Northern Ireland","Belfast",78109,"Admin & Support Service Activities"
"8131","Unitek Timber Framed Systems Limited","2018-19","48,000","463,000",10,"Northern Ireland","Lisburn and Castlereagh",43290,"Construction"
"8132","William Clark & Sons Limited","2018-19","25,000","25,000",0,"Northern Ireland","Mid Ulster",13300,"Manufacturing"
"8133","Overwatch Research Ltd","2018-19","45,000","202,000",6,"Northern Ireland","Belfast",58290,"Information & Communication"
"8134","Kelly Flowers","2018-19","14,919","37,904",0,"Northern Ireland","Lisburn and Castlereagh",46220,"Wholesale & Retail Trade & Repair of Vehicles"
"8135","Importwise Ltd","2018-19","45,000","226,000",7,"Northern Ireland","Ards and North Down",82990,"Admin & Support Service Activities"
"8136","Imperva","2018-19","1,430,000","14,451,200",220,"United States Of America","Belfast",62012,"Information & Communication"
"8137","Concept Services (NI) Ltd","2018-19","4,648","9,295",0,"Northern Ireland","Lisburn and Castlereagh",81222,"Admin & Support Service Activities"
"8138","Etain Limited","2018-19","161,000","1,770,000",23,"Northern Ireland","Belfast",62012,"Information & Communication"
"8139","Quigg Golden Limited","2018-19","1,877","6,184",0,"Northern Ireland","Belfast",69100,"Professional, Scientific & Technical Activities"
"8140","M J Kane & Co Accountants Ltd","2018-19","70,000","860,000",14,"Northern Ireland","Mid and East Antrim",69201,"Professional, Scientific & Technical Activities"
"8141","Annie's Traditional Food","2018-19","99,000","445,000",4,"Northern Ireland","Causeway Coast and Glens",10850,"Manufacturing"
"8142","Firefly","2018-19","6,150","12,300",0,"Northern Ireland","Lisburn and Castlereagh",47190,"Wholesale & Retail Trade & Repair of Vehicles"
"8143","Chapman Foods","2018-19","46,778","246,200",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing"
"8144","Firefly","2018-19","8,460","16,920",0,"Northern Ireland","Lisburn and Castlereagh",47190,"Wholesale & Retail Trade & Repair of Vehicles"
"8145","Haru Ltd","2018-19","1,298","2,595",0,"Northern Ireland","Belfast",58290,"Information & Communication"
"8146","KR Annett Handling Solutions","2018-19","7,150","14,300",0,"Northern Ireland","Newry, Mourne and Down",25620,"Manufacturing"
"8147","SDG Construction Technology Ltd","2018-19","10,000","20,299",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",22230,"Manufacturing"
"8148","Suki Teahouse Limited","2018-19","12,731","46,092",0,"Northern Ireland","Belfast",10831,"Manufacturing"
"8149","Probably Econoliser","2018-19","23,600","218,500",3,"Northern Ireland","Lisburn and Castlereagh",20200,"Manufacturing"
"8150","AF White","2018-19","19,600","114,000",2,"Northern Ireland","Ards and North Down",13990,"Manufacturing"
"8151","Funds-Axis Limited","2018-19","6,238","15,275",0,"Northern Ireland","Belfast",66190,"Financial & Insurance Activities"
"8152","Amberwell Natural Living","2018-19","780","1,560",0,"Northern Ireland","Mid Ulster",47750,"Wholesale & Retail Trade & Repair of Vehicles"
"8153","CCP Gransden Ltd","2018-19","25,000","87,186",0,"Northern Ireland","Ards and North Down",22190,"Manufacturing"
"8154","Rubber & Plastic Products (NI) Ltd","2018-19","47,500","462,333",9,"Northern Ireland","Belfast",22190,"Manufacturing"
"8155","Etain Limited","2018-19","813","1,625",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"8156","SaltDNA.com","2018-19","7,350","15,000",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"8157","Cherry Pipes Limited","2018-19","41,400","706,640",9,"Northern Ireland","Armagh City, Banbridge and Craigavon",22290,"Manufacturing"
"8158","Schrader Electronics Limited","2018-19","1,413,775","4,646,438",0,"United States of America","Antrim and Newtownabbey",26511,"Manufacturing"
"8159","Beam Vacuum Systems Limited","2018-19","5,963","17,000",0,"Northern Ireland","Mid Ulster",43290,"Construction"
"8160","Schrader Electronics Limited","2018-19","1,447,902","4,731,634",0,"United States of America","Antrim and Newtownabbey",26511,"Manufacturing"
"8161","The Robot Exchange","2018-19","125,294","540,427",7,"Great Britain","Lisburn and Castlereagh",82990,"Admin & Support Service Activities"
"8162","Validaid","2018-19","5,000","10,000",0,"Northern Ireland","Belfast",61200,"Information & Communication"
"8163","Ardour Life Limited","2018-19","5,130","17,100",0,"Northern Ireland","Belfast",14130,"Manufacturing"
"8164","Wave and Wake Ltd","2018-19","7,065","23,550",0,"Northern Ireland","Ards and North Down",47640,"Wholesale & Retail Trade & Repair of Vehicles"
"8165","The Skunk Works Surfboard Company","2018-19","2,250","4,500",0,"Northern Ireland","Causeway Coast and Glens",22290,"Manufacturing"
"8166","Eliza Grace Limited","2018-19","1,235","2,469",0,"Northern Ireland","Belfast",20420,"Manufacturing"
"8167","Rentpro Ltd","2018-19","865","1,730",0,"Northern Ireland","Newry, Mourne and Down",62020,"Information & Communication"
"8168","Killeavy Castle Ltd","2018-19","15,250","57,869",0,"Northern Ireland","Newry, Mourne and Down",55100,"Accommodation & Food Service Activities"
"8169","Name cannot be released","2018-19","43,500","354,200",7,"Northern Ireland","Derry City and Strabane",80100,"Admin & Support Service Activities"
"8170","Name cannot be released","2018-19","11,800","70,400",1,"Northern Ireland","Derry City and Strabane",70210,"Professional, Scientific & Technical Activities"
"8171","Lowe Rental Ltd","2018-19","25,000","71,670",0,"Great Britain","Lisburn and Castlereagh",77390,"Admin & Support Service Activities"
"8172","Three Lines Blade Cues Limited","2018-19","4,600","15,340",0,"Great Britain","Derry City and Strabane",85510,"Education"
"8173","Environmental Fabrications Limited","2018-19","1,470","3,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25110,"Manufacturing"
"8174","Greentown Environmental ","2018-19","2,083","4,250",0,"Northern Ireland","Fermanagh and Omagh",81300,"Admin & Support Service Activities"
"8175","M Donnelly Electrical Ltd","2018-19","1,379","2,815",0,"Northern Ireland","Fermanagh and Omagh",43210,"Construction"
"8176","Advanced Electronic Solutions Global Ltd","2018-19","3,350","6,700",0,"Northern Ireland","Mid Ulster",26309,"Manufacturing"
"8177","James Leckey Design Limited","2018-19","10,000","27,170",0,"Northern Ireland","Lisburn and Castlereagh",30920,"Manufacturing"
"8178","FSL Scoreboards Ltd","2018-19","13,084","62,795",0,"Northern Ireland","Mid Ulster",27900,"Manufacturing"
