"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"5435","Arcatech Limited","2016-17","10,000","20,000",0,"Northern Ireland","Lisburn and Castlereagh",26511,"Manufacturing"
"5436","Securibar Innovation Limited","2016-17","1,800","3,600",0,"Northern Ireland","Belfast",31090,"Manufacturing"
"5437","TotalMobile Solutions Ltd","2016-17","29,120","110,680",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"5438","Almac Group Limited","2016-17","49,235","98,770",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",21100,"Manufacturing"
"5439","Unicorn Hygienics Limited","2016-17","30,000","100,000",1,"Northern Ireland","Lisburn and Castlereagh",25990,"Manufacturing"
"5440","CampStead Ltd","2017-18","45,300","217,580",2,"Northern Ireland","Belfast",62012,"Information & Communication"
"5441","LoveOlli","2016-17","4,188","10,470",0,"Northern Ireland","Causeway Coast and Glens",46190,"Wholesale & Retail Trade & Repair of Vehicles"
"5442","Donite Plastics Ltd","2016-17","65,000","225,109",6,"Northern Ireland","Lisburn and Castlereagh",22290,"Manufacturing"
"5443","Derry Craft Distillery Limited","2016-17","33,904","231,800",0,"Northern Ireland","Derry City and Strabane",11010,"Manufacturing"
"5444","TinyTours Ltd","2016-17","1,250","2,500",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"5445","Bio-Flex Yarns Limited","2017-18","41,397","83,450",0,"Northern Ireland","Ards and North Down",86900,"Human & Social Work Activities"
"5446","Tailored Image Ltd","2016-17","48,000","443,000",7,"Northern Ireland","Mid Ulster",14120,"Manufacturing"
"5447","Giovanna Concept","2016-17","5,850","11,700",0,"Northern Ireland","Causeway Coast and Glens",29201,"Manufacturing"
"5448","Mecatec Services","2016-17","1,375","2,750",0,"Northern Ireland","Mid and East Antrim",82990,"Admin & Support Service Activities"
"5449","Allplay Ireland Limited","2016-17","4,000","10,050",0,"Northern Ireland","Newry, Mourne and Down",32300,"Manufacturing"
"5450","Oroson Limited","2016-17","91,122","214,216",0,"Northern Ireland","Antrim and Newtownabbey",62010,"Information & Communication"
"5451","Classic Mineral Water Company Limited","2016-17","8,070","30,300",1,"Northern Ireland","Armagh City, Banbridge and Craigavon",11070,"Manufacturing"
"5452","Clarke Millar Foods","2016-17","21,450","222,500",5,"Northern Ireland","Lisburn and Castlereagh",10850,"Manufacturing"
"5453","Knight Systems Ltd","2016-17","48,867","114,740",0,"Northern Ireland","Belfast",81299,"Admin & Support Service Activities"
"5454","Fabplus Limited","2017-18","455,006","7,814,000",83,"Irish Republic","Derry City and Strabane",24200,"Manufacturing"
"5455","Rockincolour Ltd","2016-17","23,960","140,200",2,"Northern Ireland","Newry, Mourne and Down",23610,"Manufacturing"
"5456","Mallon Technology (Northern Ireland) Limited","2017-18","49,392","123,734",0,"Northern Ireland","Mid Ulster",62010,"Information & Communication"
"5457","ATG Services (Ireland) Ltd","2016-17","5,000","10,000",0,"Northern Ireland","Causeway Coast and Glens",38110,"Water Supply, Sewerage, Waste Management & Remediation Activities"
"5458","ATG Services (Ireland) Ltd","2016-17","3,469","6,938",0,"Northern Ireland","Causeway Coast and Glens",38110,"Water Supply, Sewerage, Waste Management & Remediation Activities"
"5459","Avolon Blinds","2016-17","19,600","141,000",4,"Northern Ireland","Armagh City, Banbridge and Craigavon",13923,"Manufacturing"
"5460","Lenalea Electronics Limited","2016-17","2,467","4,934",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",26110,"Manufacturing"
"5461","U.M.I. Foods","2016-17","973","1,945",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing"
"5462","Andor Technology Plc","2016-17","805,787","2,538,166",0,"Great Britain","Belfast",26701,"Manufacturing"
"5463","Fusion Antibodies Plc","2016-17","9,616","19,232",0,"Northern Ireland","Belfast",72190,"Professional, Scientific & Technical Activities"
"5464","Woodmarque Architectural Joinery Ltd","2016-17","90,000","496,000",8,"Northern Ireland","Mid Ulster",31090,"Manufacturing"
"5465","Asian Curries Limited","2016-17","8,250","142,000",4,"Northern Ireland","Fermanagh and Omagh",10850,"Manufacturing"
"5466","Avoniel Distillers Limited","2016-17","700","1,400",0,"Northern Ireland","Belfast",11010,"Manufacturing"
"5467","Willis & Company (Insurance Brokers) Limited","2016-17","35,000","257,000",5,"Northern Ireland","Belfast",65120,"Financial & Insurance Activities"
"5468","Quad-X Ltd","2016-17","49,783","165,944",2,"Northern Ireland","Mid and East Antrim",28302,"Manufacturing"
"5469","3EN Cloud Ltd","2016-17","18,904","63,347",0,"Northern Ireland","Ards and North Down",62020,"Information & Communication"
"5470","Alternative Heat Limited","2017-18","18,634","88,722",0,"Northern Ireland","Newry, Mourne and Down",43999,"Construction"
"5471","Mash Direct Limited","2016-17","16,565","64,440",0,"Northern Ireland","Ards and North Down",10890,"Manufacturing"
"5472","Baxter Murray Ltd","2016-17","5,460","16,235",0,"Northern Ireland","Belfast",10822,"Manufacturing"
"5473","Comfizone Ltd","2016-17","112,050","475,090",20,"Northern Ireland","Mid Ulster",31030,"Manufacturing"
"5474","Minprint Holdings Limited","2016-17","66,000","330,000",2,"Northern Ireland","Belfast",18129,"Manufacturing"
"5475","Sensoteq","2016-17","250","500",0,"Northern Ireland","Belfast",61200,"Information & Communication"
"5476","TinyTours Ltd","2016-17","2,500","5,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"5477","Datum Tool Design Ltd","2016-17","20,604","61,150",0,"Northern Ireland","Newry, Mourne and Down",71129,"Professional, Scientific & Technical Activities"
"5478","Finrone Systems Limited","2016-17","2,500","5,000",0,"Northern Ireland","Derry City and Strabane",41201,"Construction"
"5479","Limitless Digital Solutions Limited","2016-17","4,500","15,000",1,"Northern Ireland","Belfast",61200,"Information & Communication"
"5480","Decor Ireland","2016-17","3,798","11,495",0,"Northern Ireland","Lisburn and Castlereagh",74100,"Professional, Scientific & Technical Activities"
"5481","Factory Automated Systems Technologies Limited","2016-17","97,000","1,138,000",17,"Northern Ireland","Derry City and Strabane",26512,"Manufacturing"
"5482","M/A-COM Technology Solutions (UK) Limited","2017-18","42,455","155,283",0,"United States of America","Belfast",62012,"Information & Communication"
"5483","Aquababes (NI) Ltd","2016-17","4,500","15,000",0,"Northern Ireland","Belfast",93190,"Arts, Entertainment & Recreation"
"5484","Complete Beverage Services","2016-17","8,278","22,890",0,"Northern Ireland","Fermanagh and Omagh",33200,"Manufacturing"
"5485","Marcomm Limited","2016-17","3,694","9,836",0,"Northern Ireland","Lisburn and Castlereagh",70210,"Professional, Scientific & Technical Activities"
"5486","Rekkur (NI) Limited","2016-17","4,850","9,700",0,"Northern Ireland","Fermanagh and Omagh",22230,"Manufacturing"
"5487","O'Neill Electrics Limited","2016-17","95,000","823,000",20,"Northern Ireland","Fermanagh and Omagh",43210,"Construction"
"5488","Killyhevlin Hotel Limited","2016-17","14,700","52,000",1,"Northern Ireland","Fermanagh and Omagh",55100,"Accommodation & Food Service Activities"
"5489","RODEng Consulting LLP","2016-17","37,000","457,300",7,"Great Britain","Lisburn and Castlereagh",71122,"Professional, Scientific & Technical Activities"
"5490","A1 Solutions (NI) Limited","2016-17","3,980","7,960",0,"Northern Ireland","Belfast",74100,"Professional, Scientific & Technical Activities"
"5491","Klubfunder Limited","2016-17","35,000","294,200",5,"Northern Ireland","Belfast",62090,"Information & Communication"
"5492","Modern Democracy Limited","2016-17","40,189","124,636",0,"Northern Ireland","Derry City and Strabane",74100,"Professional, Scientific & Technical Activities"
"5493","The Shed Factory","2016-17","40,000","324,000",8,"Northern Ireland","Belfast",31090,"Manufacturing"
"5494","Digital DNA","2016-17","18,788","53,679",0,"Northern Ireland","Newry, Mourne and Down",82301,"Admin & Support Service Activities"
"5495","Michael Nugent Ltd","2016-17","3,764","11,958",0,"Northern Ireland","Mid Ulster",43220,"Construction"
"5496","Ardboe Coldstore Limited","2016-17","43,987","147,125",0,"Northern Ireland","Mid Ulster",10390,"Manufacturing"
"5497","Mash Direct Limited","2016-17","7,350","15,000",0,"Northern Ireland","Ards and North Down",10890,"Manufacturing"
"5498","InteleSens Ltd","2016-17","71,464","179,660",1,"Northern Ireland","Belfast",86200,"Human & Social Work Activities"
"5499","Allingham Quadcrates","2016-17","15,300","278,000",4,"Northern Ireland","Fermanagh and Omagh",28220,"Manufacturing"
"5500","Static Industrial Coatings Ltd","2016-17","13,500","99,000",3,"Northern Ireland","Armagh City, Banbridge and Craigavon",25610,"Manufacturing"
"5501","Golden Popcorn","2016-17","48,000","160,000",0,"Northern Ireland","Antrim and Newtownabbey",10612,"Manufacturing"
"5502","Drumhorc Pallets Limited","2016-17","2,575","5,150",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",16290,"Manufacturing"
"5503","Mechanical Installations & Maintenance (N.I.) Limited","2016-17","40,000","376,643",8,"Northern Ireland","Derry City and Strabane",25620,"Manufacturing"
"5504","Predator Equipment Limited","2016-17","1,900","3,800",0,"Northern Ireland","Mid Ulster",29320,"Manufacturing"
"5505","Ramko Hydraulics Ltd","2016-17","500","1,000",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"5506","Denroy Plastics Limited","2016-17","99,691","365,110",0,"Northern Ireland","Ards and North Down",22290,"Manufacturing"
"5507","Predator Equipment Limited","2016-17","2,343","4,686",0,"Northern Ireland","Mid Ulster",29320,"Manufacturing"
"5508","3RD Digital Limited","2016-17","3,990","7,980",0,"Northern Ireland","Newry, Mourne and Down",58200,"Information & Communication"
"5509","Brookvent","2016-17","38,870","88,310",0,"Northern Ireland","Lisburn and Castlereagh",28250,"Manufacturing"
"5510","Primepac Ltd","2016-17","2,750","5,500",0,"Northern Ireland","Antrim and Newtownabbey",22290,"Manufacturing"
"5511","Instil Software Ltd","2016-17","48,024","125,791",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"5512","Right Revenue","2016-17","4,500","15,000",0,"Northern Ireland","Newry, Mourne and Down",70229,"Professional, Scientific & Technical Activities"
"5513","hpc","2016-17","1,435","2,870",0,"Northern Ireland","Belfast",70229,"Professional, Scientific & Technical Activities"
"5514","3RD Digital Limited","2016-17","4,125","8,250",0,"Northern Ireland","Newry, Mourne and Down",58200,"Information & Communication"
"5515","Greenisland Flowers Limited","2016-17","22,640","209,800",4,"Northern Ireland","Armagh City, Banbridge and Craigavon",1190,"Agriculture, Forestry & Fishing"
"5516","Screenpod","2016-17","49,020","163,400",1,"Northern Ireland","Mid Ulster",28922,"Manufacturing"
"5517","Lignum Interiors","2016-17","22,000","169,000",3,"Northern Ireland","Newry, Mourne and Down",31090,"Manufacturing"
"5518","IMED (NI) Limited","2016-17","13,328","27,200",0,"Northern Ireland","Mid Ulster",21100,"Manufacturing"
"5519","Simply Indian (Derry) Limited","2016-17","12,600","102,500",3,"Northern Ireland","Derry City and Strabane",56210,"Accommodation & Food Service Activities"
"5520","The Clandeboye Estate Company Limited","2016-17","19,700","109,000",0,"Northern Ireland","Ards and North Down",10519,"Manufacturing"
"5521","Ensix Turbine Services","2016-17","7,219","20,036",0,"Northern Ireland","Mid Ulster",33200,"Manufacturing"
"5522","Ecom Software Limited","2016-17","8,280","16,560",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"5523","Wood Innovations Limited","2016-17","7,176","14,479",0,"Northern Ireland","Newry, Mourne and Down",47530,"Wholesale & Retail Trade & Repair of Vehicles"
"5524","Kenwell Engineering","2016-17","28,000","932,000",7,"Northern Ireland","Fermanagh and Omagh",25110,"Manufacturing"
"5525","Bopworx Limited","2016-17","5,000","13,450",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"5526","Pop Notch Ltd","2016-17","2,550","5,100",0,"Northern Ireland","Mid Ulster",10890,"Manufacturing"
"5527","D McCloy Guns","2016-17","6,600","31,000",0,"Northern Ireland","Mid Ulster",93199,"Arts, Entertainment & Recreation"
"5528","Combined Facilities Management Ltd","2016-17","1,950","3,900",0,"Northern Ireland","Mid Ulster",82990,"Admin & Support Service Activities"
"5529","Gemat Automatation","2016-17","4,625","9,250",0,"Northern Ireland","Mid and East Antrim",26512,"Manufacturing"
"5530","Kiverco Limited","2016-17","1,103","2,206",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"5531","Michael Nugent Ltd","2016-17","10,000","21,325",0,"Northern Ireland","Mid Ulster",43220,"Construction"
"5532","Eye Cove Limited","2016-17","260","520",0,"Northern Ireland","Mid and East Antrim",32500,"Manufacturing"
"5533","Pinkertons","2016-17","45,589","241,075",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10130,"Manufacturing"
"5534","Scott & Ewing Limited","2016-17","30,912","103,040",2,"Northern Ireland","Fermanagh and Omagh",43220,"Construction"
"5535","3RD Digital Limited","2016-17","3,000","6,000",0,"Northern Ireland","Newry, Mourne and Down",58200,"Information & Communication"
"5536","Heatboss","2016-17","500","1,000",0,"Northern Ireland","Antrim and Newtownabbey",28290,"Manufacturing"
"5537","Platinum Music Ireland Limited","2016-17","25,847","86,155",2,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities"
"5538","Hurree Limited","2016-17","5,000","10,000",0,"Northern Ireland","Belfast",63120,"Information & Communication"
"5539","Anomali","2016-17","780,000","8,266,900",120,"United States Of America","Belfast",62020,"Information & Communication"
"5540","Denroy Plastics Limited","2016-17","25,000","81,625",0,"Northern Ireland","Ards and North Down",22290,"Manufacturing"
"5541","Ailsby","2016-17","9,900","93,000",2,"Northern Ireland","Lisburn and Castlereagh",74300,"Professional, Scientific & Technical Activities"
"5542","Strain Engineering and Co Limited","2016-17","90,000","710,000",15,"Northern Ireland","Mid Ulster",71129,"Professional, Scientific & Technical Activities"
"5543","Sensoteq","2016-17","300","600",0,"Northern Ireland","Belfast",61200,"Information & Communication"
"5544","Glens Of Antrim Potatoes","2016-17","5,000","14,990",0,"Northern Ireland","Causeway Coast and Glens",46310,"Wholesale & Retail Trade & Repair of Vehicles"
"5545","Carey Cleaning Machines","2017-18","49,000","1,188,200",7,"Northern Ireland","Mid and East Antrim",71129,"Professional, Scientific & Technical Activities"
"5546","Knight Systems Ltd","2016-17","2,250","4,500",0,"Northern Ireland","Belfast",81299,"Admin & Support Service Activities"
"5547","Anderson Interiors Limited","2016-17","10,686","30,530",0,"Northern Ireland","Belfast",13921,"Manufacturing"
"5548","Orior By Design Limited","2016-17","1,800","3,600",0,"Northern Ireland","Newry, Mourne and Down",31090,"Manufacturing"
"5549","Kane Engineering Limited","2016-17","29,427","98,090",2,"Northern Ireland","Ards and North Down",27120,"Manufacturing"
"5550","CBD Powerwashers Ltd","2016-17","41,800","285,000",6,"Northern Ireland","Mid Ulster",25300,"Manufacturing"
"5551","The Grass People Ltd","2016-17","10,716","27,362",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",1300,"Agriculture, Forestry & Fishing"
"5552","The Yellow Door","2016-17","1,598","7,200",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10710,"Manufacturing"
"5553","Screenpod","2016-17","1,250","2,500",0,"Northern Ireland","Mid Ulster",28922,"Manufacturing"
"5554","Valley Hotel","2016-17","3,356","8,390",0,"Northern Ireland","Mid Ulster",55100,"Accommodation & Food Service Activities"
"5555","Glaze Digital Ltd","2016-17","4,900","10,000",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"5556","House of Mara","2016-17","6,860","14,000",0,"Northern Ireland","Belfast",20590,"Manufacturing"
"5557","HNH Partners Limited","2016-17","45,000","369,000",6,"Northern Ireland","Belfast",69201,"Professional, Scientific & Technical Activities"
"5558","Cleaver Fulton Rankin Limited","2016-17","2,000","4,000",0,"Northern Ireland","Belfast",69100,"Professional, Scientific & Technical Activities"
"5559","North South Retail Ltd","2016-17","32,988","145,000",2,"Northern Ireland","Belfast",47290,"Wholesale & Retail Trade & Repair of Vehicles"
"5560","Hanna & Hutchinson Consulting Engineers Ltd","2016-17","1,500","3,000",0,"Northern Ireland","Lisburn and Castlereagh",71122,"Professional, Scientific & Technical Activities"
"5561","Caspac","2016-17","3,540","8,850",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",17210,"Manufacturing"
"5562","P2V Systems Limited","2016-17","8,232","16,800",0,"Northern Ireland","Lisburn and Castlereagh",63990,"Information & Communication"
"5563","Brio Training","2016-17","1,118","2,235",0,"Northern Ireland","Mid Ulster",85590,"Education"
"5564","Voxbit Ltd.","2017-18","244,388","584,024",0,"Northern Ireland","Belfast",61200,"Information & Communication"
"5565","Neueda Consulting","2016-17","15,480","76,022",0,"Northern Ireland","Belfast",85590,"Education"
"5566","WD Meats","2016-17","49,907","244,441",0,"Northern Ireland","Causeway Coast and Glens",10110,"Manufacturing"
"5567","Woodland Kitchens (N.I.) Limited","2016-17","146,624","705,383",0,"Northern Ireland","Causeway Coast and Glens",31020,"Manufacturing"
"5568","Radius Plastics Limited","2017-18","133,604","445,345",0,"Great Britain","Armagh City, Banbridge and Craigavon",22210,"Manufacturing"
"5569","Enterprise Stationery Ltd","2016-17","39,150","134,900",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",17290,"Manufacturing"
"5570","Boomer Industries Limited","2016-17","2,500","7,822",0,"Northern Ireland","Lisburn and Castlereagh",22230,"Manufacturing"
"5571","Flexform Ltd","2016-17","1,156","2,312",0,"Northern Ireland","Belfast",27320,"Manufacturing"
"5572","Mivan Marine Limited","2016-17","48,536","161,788",0,"Northern Ireland","Antrim and Newtownabbey",16230,"Manufacturing"
"5573","Blockbusters Environmental Services (NI) Limited","2016-17","19,060","275,480",6,"Northern Ireland","Newry, Mourne and Down",81299,"Admin & Support Service Activities"
"5574","William Clark & Sons Limited","2016-17","2,425","4,850",0,"Northern Ireland","Mid Ulster",13300,"Manufacturing"
"5575","Silotank","2016-17","24,000","80,000",4,"Northern Ireland","Belfast",25290,"Manufacturing"
"5576","Photonic Measurements Limited","2016-17","48,494","116,916",0,"Northern Ireland","Belfast",71200,"Professional, Scientific & Technical Activities"
"5577","Wichcraftsecure Limited","2016-17","3,000","10,000",0,"Northern Ireland","Lisburn and Castlereagh",62011,"Information & Communication"
"5578","Raygar Ltd","2016-17","6,194","15,835",0,"Northern Ireland","Mid Ulster",32200,"Manufacturing"
"5579","McCloskey International Limited","2017-18","261,356","1,305,106",71,"Canada","Mid Ulster",28920,"Manufacturing"
"5580","Panacea Drinks","2016-17","4,500","15,000",1,"Northern Ireland","Newry, Mourne and Down",11070,"Manufacturing"
"5581","Supersauce","2016-17","33,100","160,832",0,"Northern Ireland","Lisburn and Castlereagh",10890,"Manufacturing"
"5582","Ruach Music Ltd","2016-17","19,000","92,500",3,"Northern Ireland","Newry, Mourne and Down",32200,"Manufacturing"
"5583","Island Turf Crafts Limited","2016-17","24,800","114,420",3,"Northern Ireland","Mid Ulster",32990,"Manufacturing"
"5584","McIvor Plastics Limited","2016-17","5,270","20,296",0,"Northern Ireland","Derry City and Strabane",22290,"Manufacturing"
"5585","CCO (Int) Ltd","2016-17","16,700","187,800",2,"Northern Ireland","Derry City and Strabane",70229,"Professional, Scientific & Technical Activities"
"5586","Sixty-5","2016-17","47,367","95,764",0,"Northern Ireland","Belfast",28302,"Manufacturing"
"5587","Globeweigh U.K. Ltd","2016-17","49,427","70,659",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",82990,"Admin & Support Service Activities"
"5588","Displaynote Technologies Limited","2017-18","215,473","1,010,835",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"5589","Precision Industrial Services Limited","2016-17","23,700","214,288",3,"Northern Ireland","Derry City and Strabane",81222,"Admin & Support Service Activities"
"5590","Hawthorn Heights Ltd","2016-17","17,730","119,016",2,"Northern Ireland","Derry City and Strabane",43999,"Construction"
"5591","Solas Pharmaceuticals Ltd","2016-17","29,474","168,427",2,"Northern Ireland","Derry City and Strabane",96040,"Other Service Activities"
"5592","Hughes Mushrooms","2016-17","9,989","19,978",0,"Northern Ireland","Mid Ulster",10390,"Manufacturing"
"5593","Hughes Mushrooms","2016-17","9,969","19,938",0,"Northern Ireland","Mid Ulster",10390,"Manufacturing"
"5594","Unique Garden Products","2016-17","1,060","2,120",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",13300,"Manufacturing"
"5595","CM Precision Components Ltd","2016-17","9,588","19,176",0,"Northern Ireland","Newry, Mourne and Down",25620,"Manufacturing"
"5596","Primepac Ltd","2016-17","98,700","384,000",4,"Northern Ireland","Antrim and Newtownabbey",22290,"Manufacturing"
"5597","CE-Tech","2016-17","919","1,875",0,"Northern Ireland","Mid and East Antrim",33200,"Manufacturing"
"5598","TheAppBuilder Ltd","2016-17","1,700","3,400",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"5599","Seven Technologies Holdings Limited","2017-18","140,000","1,471,888",20,"Northern Ireland","Lisburn and Castlereagh",62012,"Information & Communication"
"5600","Finn Lough","2016-17","5,000","13,920",0,"Northern Ireland","Fermanagh and Omagh",55209,"Accommodation & Food Service Activities"
"5601","Secure Broadcast Ltd","2016-17","1,967","3,934",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"5602","IMED (NI) Limited","2018-19","33,606","149,360",0,"Northern Ireland","Mid Ulster",21100,"Manufacturing"
"5603","Moore Concrete Products Limited","2016-17","44,290","98,892",0,"Northern Ireland","Mid and East Antrim",23610,"Manufacturing"
"5604","Mourne Mountains Brewery","2016-17","1,475","2,950",0,"Northern Ireland","Newry, Mourne and Down",11050,"Manufacturing"
"5605","Mourne Mountains Brewery","2016-17","2,190","4,380",0,"Northern Ireland","Newry, Mourne and Down",11050,"Manufacturing"
"5606","Rising Star Designs Ltd","2016-17","35,000","268,800",6,"Northern Ireland","Belfast",13920,"Manufacturing"
"5607","FarmFLiX","2016-17","40,123","70,551",0,"Northern Ireland","Antrim and Newtownabbey",59132,"Information & Communication"
"5608","Arolco Ireland Limited","2016-17","1,600","3,200",0,"Northern Ireland","Derry City and Strabane",22290,"Manufacturing"
"5609","Craigmore","2016-17","22,264","55,660",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25110,"Manufacturing"
"5610","Heatboss","2016-17","500","1,000",0,"Northern Ireland","Antrim and Newtownabbey",28290,"Manufacturing"
"5611","S&E Caretrade","2016-17","1,750","3,500",0,"Northern Ireland","Antrim and Newtownabbey",32500,"Manufacturing"
"5612","Mahlatini Travel","2016-17","3,835","7,670",0,"Northern Ireland","Belfast",79110,"Admin & Support Service Activities"
"5613","John Courtney Tree Surgery Ltd","2016-17","16,525","236,350",4,"Northern Ireland","Fermanagh and Omagh",81300,"Admin & Support Service Activities"
"5614","Tag Performance App Limited","2016-17","16,395","33,140",0,"Northern Ireland","Belfast",58200,"Information & Communication"
"5615","Bellamoon Limited","2016-17","3,600","7,200",0,"Northern Ireland","Newry, Mourne and Down",13990,"Manufacturing"
"5616","Craigmore","2016-17","40,400","293,000",6,"Northern Ireland","Armagh City, Banbridge and Craigavon",25110,"Manufacturing"
"5617","Sensurity Limited","2016-17","25,000","150,000",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"5618","Adoreboard Limited","2016-17","45,000","162,000",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"5619","Innov8","2016-17","12,601","40,831",0,"Northern Ireland","Belfast",47599,"Wholesale & Retail Trade & Repair of Vehicles"
"5620","Action Renewables","2016-17","4,365","8,730",0,"Northern Ireland","Belfast",71122,"Professional, Scientific & Technical Activities"
"5621","Crossen Engineering Ltd","2016-17","1,250","2,500",0,"Northern Ireland","Lisburn and Castlereagh",25730,"Manufacturing"
"5622","Derry Precision Tools","2016-17","10,000","20,000",0,"Northern Ireland","Derry City and Strabane",28490,"Manufacturing"
"5623","Apt Innovations Ltd","2016-17","5,000","10,800",0,"Northern Ireland","Lisburn and Castlereagh",27520,"Manufacturing"
"5624","Foyle International Ltd","2016-17","47,019","98,092",0,"Northern Ireland","Derry City and Strabane",85590,"Education"
"5625","Copeland Spirits Ltd","2016-17","9,000","30,000",1,"Northern Ireland","Newry, Mourne and Down",11010,"Manufacturing"
"5626","The Babble Group Limited","2016-17","31,000","187,975",7,"Northern Ireland","Lisburn and Castlereagh",78100,"Admin & Support Service Activities"
"5627","Charles O'Doherty & Sons Limited","2016-17","5,850","11,700",0,"Northern Ireland","Derry City and Strabane",16290,"Manufacturing"
"5628","Airpos Limited","2016-17","16,700","68,210",1,"Northern Ireland","Belfast",62020,"Information & Communication"
"5629","Whyte and Wood","2016-17","32,209","168,365",2,"Northern Ireland","Mid and East Antrim",32990,"Manufacturing"
"5630","L'artisan Foods Limited","2016-17","2,000","4,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10720,"Manufacturing"
"5631","A1 Solutions (NI) Limited","2016-17","5,200","10,400",0,"Northern Ireland","Belfast",74100,"Professional, Scientific & Technical Activities"
"5632","Circadian Capital Limited","2016-17","29,164","48,753",0,"Northern Ireland","Belfast",64999,"Financial & Insurance Activities"
"5633","Media Design and Print/Media Marketing","2016-17","4,714","16,796",0,"Northern Ireland","Belfast",18129,"Manufacturing"
"5634","Precision Processing Services Limited","2016-17","26,070","136,110",1,"Northern Ireland","Derry City and Strabane",25610,"Manufacturing"
"5635","Share Centre","2016-17","7,500","96,000",0,"Northern Ireland","Fermanagh and Omagh",55100,"Accommodation & Food Service Activities"
"5636","Breezemount Electrical & Hydraulics Limited","2016-17","7,350","15,000",0,"Northern Ireland","Lisburn and Castlereagh",43210,"Construction"
"5637","Voxbit Ltd.","2016-17","45,874","170,000",1,"Northern Ireland","Belfast",61200,"Information & Communication"
"5638","Stephen Farnan Studio Ltd","2016-17","3,200","8,420",0,"Northern Ireland","Belfast",23410,"Manufacturing"
"5639","Lakeland Computers","2016-17","1,925","3,850",0,"Northern Ireland","Fermanagh and Omagh",62020,"Information & Communication"
"5640","ON Music Limited","2016-17","59,099","148,984",0,"Great Britain","Belfast",59200,"Information & Communication"
"5641","AM Electrical","2016-17","3,750","7,500",0,"Northern Ireland","Mid Ulster",27900,"Manufacturing"
"5642","Sweet Things","2016-17","50,000","499,770",13,"Northern Ireland","Newry, Mourne and Down",10710,"Manufacturing"
"5643","Uni Baggage Ltd","2016-17","10,000","25,000",0,"Northern Ireland","Belfast",50100,"Transportation & Storage"
"5644","Glens Of Antrim Potatoes","2016-17","16,187","35,000",0,"Northern Ireland","Causeway Coast and Glens",46310,"Wholesale & Retail Trade & Repair of Vehicles"
"5645","X-Ray Ireland Ltd","2016-17","5,000","105,503",0,"Northern Ireland","Newry, Mourne and Down",86220,"Human & Social Work Activities"
"5646","Yedup Limited","2016-17","49,544","73,910",0,"Northern Ireland","Belfast",58200,"Information & Communication"
"5647","Derry Precision Tools","2016-17","25,000","67,659",0,"Northern Ireland","Derry City and Strabane",28490,"Manufacturing"
"5648","Fernleaf Systems Limited","2016-17","6,000","46,300",0,"Northern Ireland","Belfast",62090,"Information & Communication"
"5649","Locate a Locum","2016-17","47,000","442,000",7,"Northern Ireland","Belfast",63120,"Information & Communication"
"5650","Click Energy","2016-17","25,000","63,900",0,"Northern Ireland","Derry City and Strabane",35110,"Electricity, Gas, Steam & Air Conditioning Supply"
"5651","Rich Sauces","2016-17","21,690","62,525",0,"Northern Ireland","Ards and North Down",10840,"Manufacturing"
"5652","Cocoon Warmfloors","2016-17","16,950","240,500",4,"Northern Ireland","Antrim and Newtownabbey",25210,"Manufacturing"
"5653","Countryside Services Limited","2016-17","25,600","150,000",4,"Northern Ireland","Mid Ulster",1629,"Agriculture, Forestry & Fishing"
"5654","CRS (NI) Ltd","2016-17","9,900","19,800",0,"Northern Ireland","Fermanagh and Omagh",28920,"Manufacturing"
"5655","Hollander","2016-17","663","1,325",0,"Northern Ireland","Derry City and Strabane",64999,"Financial & Insurance Activities"
